,District,Type,Count,Amount,Year,state
0,chandigarh district,TOTAL,381895,613435420.8676233,2018,chandigarh
1,chandigarh district,TOTAL,479084,961223261.74473,2018,chandigarh
2,chandigarh district,TOTAL,616936,1369354447.5343118,2018,chandigarh
3,chandigarh district,TOTAL,905116,2032591591.779975,2018,chandigarh
4,chandigarh district,TOTAL,1274476,2396032050.444029,2019,chandigarh
5,chandigarh district,TOTAL,1252470,2693116098.9444556,2019,chandigarh
6,chandigarh district,TOTAL,1506543,3269682087.660841,2019,chandigarh
7,chandigarh district,TOTAL,1850915,4152513817.939354,2019,chandigarh
8,chandigarh district,TOTAL,2262511,5126453070.016205,2020,chandigarh
9,chandigarh district,TOTAL,1528010,3847015729.690074,2020,chandigarh
10,chandigarh district,TOTAL,2158086,5089809353.36507,2020,chandigarh
11,chandigarh district,TOTAL,2912716,6146762901.349346,2020,chandigarh
12,chandigarh district,TOTAL,3970237,7596420859.545994,2021,chandigarh
13,chandigarh district,TOTAL,4417547,8417673939.936101,2021,chandigarh
14,chandigarh district,TOTAL,6649378,11815883004.693304,2021,chandigarh
15,chandigarh district,TOTAL,7898903,14373583510.61845,2021,chandigarh
16,chandigarh district,TOTAL,8600491,15174991549.84,2022,chandigarh
17,chandigarh district,TOTAL,10772489,17283500158.371002,2022,chandigarh
18,chandigarh district,TOTAL,13478173,20559757737.405857,2022,chandigarh
19,chandigarh district,TOTAL,17904840,27879754566.939415,2022,chandigarh
20,kangpokpi district,TOTAL,4187,12129421.383849183,2018,manipur
21,noney district,TOTAL,646,747261.2810295916,2018,manipur
22,imphal east district,TOTAL,21960,26028937.81002756,2018,manipur
23,thoubal district,TOTAL,8288,8366772.887529282,2018,manipur
24,kakching district,TOTAL,1622,1924584.2384454876,2018,manipur
25,jiribam district,TOTAL,1305,3564799.4519929583,2018,manipur
26,ukhrul district,TOTAL,1399,1647288.6651835062,2018,manipur
27,tamenglong district,TOTAL,1007,1709209.2458958817,2018,manipur
28,kamjong district,TOTAL,329,236107.7403536682,2018,manipur
29,chandel district,TOTAL,880,1376995.1405003848,2018,manipur
30,bishnupur district,TOTAL,7005,11341627.667845085,2018,manipur
31,senapati district,TOTAL,613,577840.1682329748,2018,manipur
32,pherzawl district,TOTAL,2,778.0896294258192,2018,manipur
33,churachandpur district,TOTAL,4081,11708258.721273843,2018,manipur
34,tengnoupal district,TOTAL,882,660028.7721459618,2018,manipur
35,imphal west district,TOTAL,29863,46026262.666274294,2018,manipur
36,kangpokpi district,TOTAL,6741,20315625.91653779,2018,manipur
37,noney district,TOTAL,1051,2486030.8565162863,2018,manipur
38,imphal east district,TOTAL,42065,54561898.7454827,2018,manipur
39,thoubal district,TOTAL,20689,17968719.216563758,2018,manipur
40,kakching district,TOTAL,3879,6411513.656549769,2018,manipur
41,jiribam district,TOTAL,2710,6467614.407545684,2018,manipur
42,ukhrul district,TOTAL,2800,6394470.819340965,2018,manipur
43,tamenglong district,TOTAL,1714,4747280.086110413,2018,manipur
44,kamjong district,TOTAL,340,446574.11265748634,2018,manipur
45,chandel district,TOTAL,1619,3525831.9511511945,2018,manipur
46,bishnupur district,TOTAL,11338,19352100.53894212,2018,manipur
47,senapati district,TOTAL,970,2034357.3575923673,2018,manipur
48,pherzawl district,TOTAL,11,1036.3525697348664,2018,manipur
49,churachandpur district,TOTAL,7110,18055703.27078783,2018,manipur
50,tengnoupal district,TOTAL,2080,6077962.2428630125,2018,manipur
51,imphal west district,TOTAL,46604,84363001.78828333,2018,manipur
52,kangpokpi district,TOTAL,9151,27937402.09243063,2018,manipur
53,noney district,TOTAL,1636,3959453.6371438224,2018,manipur
54,imphal east district,TOTAL,60511,89605715.78431109,2018,manipur
55,thoubal district,TOTAL,19399,34092748.23724542,2018,manipur
56,kakching district,TOTAL,4590,9968419.417644013,2018,manipur
57,jiribam district,TOTAL,3959,6601625.253335206,2018,manipur
58,ukhrul district,TOTAL,3600,9802720.723219434,2018,manipur
59,tamenglong district,TOTAL,2829,6192820.941522401,2018,manipur
60,kamjong district,TOTAL,349,673262.7657017015,2018,manipur
61,chandel district,TOTAL,2591,5588239.711362864,2018,manipur
62,bishnupur district,TOTAL,13649,24368236.711014666,2018,manipur
63,senapati district,TOTAL,1416,2555370.7700600782,2018,manipur
64,pherzawl district,TOTAL,48,97583.08278583639,2018,manipur
65,churachandpur district,TOTAL,8671,27468832.413289707,2018,manipur
66,tengnoupal district,TOTAL,3282,13385091.180977922,2018,manipur
67,imphal west district,TOTAL,53577,121033722.07207742,2018,manipur
68,kangpokpi district,TOTAL,13325,42081524.606101125,2018,manipur
69,noney district,TOTAL,2598,7315230.191123211,2018,manipur
70,imphal east district,TOTAL,54610,129176222.41262636,2018,manipur
71,thoubal district,TOTAL,24817,52899731.29086943,2018,manipur
72,kakching district,TOTAL,6508,13429124.004544508,2018,manipur
73,jiribam district,TOTAL,5444,13414981.155959103,2018,manipur
74,ukhrul district,TOTAL,4538,15201316.568829268,2018,manipur
75,tamenglong district,TOTAL,4866,13057576.00717781,2018,manipur
76,kamjong district,TOTAL,845,2822478.1128238714,2018,manipur
77,chandel district,TOTAL,4425,13092276.488481913,2018,manipur
78,bishnupur district,TOTAL,19048,37263259.12396772,2018,manipur
79,senapati district,TOTAL,2902,7569372.186811532,2018,manipur
80,pherzawl district,TOTAL,112,103445.61904358957,2018,manipur
81,churachandpur district,TOTAL,14801,54503246.75234864,2018,manipur
82,tengnoupal district,TOTAL,5426,22155446.62844094,2018,manipur
83,imphal west district,TOTAL,71845,181598328.15686062,2018,manipur
84,kangpokpi district,TOTAL,15937,42225052.52830845,2019,manipur
85,noney district,TOTAL,3526,7995454.9708068315,2019,manipur
86,imphal east district,TOTAL,65076,147611078.93080652,2019,manipur
87,thoubal district,TOTAL,24257,47210976.00123881,2019,manipur
88,kakching district,TOTAL,6683,13774811.29579331,2019,manipur
89,jiribam district,TOTAL,5957,16988787.69086654,2019,manipur
90,ukhrul district,TOTAL,6222,16838560.88842248,2019,manipur
91,tamenglong district,TOTAL,6373,13975000.543136504,2019,manipur
92,kamjong district,TOTAL,994,2575925.7869967697,2019,manipur
93,chandel district,TOTAL,4711,14267105.401719613,2019,manipur
94,bishnupur district,TOTAL,19486,48193281.39036342,2019,manipur
95,senapati district,TOTAL,3382,7787710.744660139,2019,manipur
96,pherzawl district,TOTAL,189,363380.8157813267,2019,manipur
97,churachandpur district,TOTAL,16940,53360483.20022403,2019,manipur
98,tengnoupal district,TOTAL,6064,21054191.304917272,2019,manipur
99,imphal west district,TOTAL,79612,205676258.93003774,2019,manipur
100,kangpokpi district,TOTAL,16230,47129360.10420917,2019,manipur
101,noney district,TOTAL,3382,10075253.477492668,2019,manipur
102,imphal east district,TOTAL,60830,163251483.39407197,2019,manipur
103,thoubal district,TOTAL,20528,50609235.60475471,2019,manipur
104,kakching district,TOTAL,6912,16106582.072259707,2019,manipur
105,jiribam district,TOTAL,6285,17270321.134957515,2019,manipur
106,ukhrul district,TOTAL,7984,21521804.282437492,2019,manipur
107,tamenglong district,TOTAL,5763,15814788.021049991,2019,manipur
108,kamjong district,TOTAL,974,3032919.691310563,2019,manipur
109,chandel district,TOTAL,5816,18618364.598585922,2019,manipur
110,bishnupur district,TOTAL,17577,41645991.98921693,2019,manipur
111,senapati district,TOTAL,4057,9803824.584911618,2019,manipur
112,pherzawl district,TOTAL,226,354755.2995869209,2019,manipur
113,churachandpur district,TOTAL,15958,52974898.07418257,2019,manipur
114,tengnoupal district,TOTAL,6226,22523708.105631053,2019,manipur
115,imphal west district,TOTAL,78677,232056651.71484104,2019,manipur
116,kangpokpi district,TOTAL,23953,61269618.190953486,2019,manipur
117,noney district,TOTAL,4592,10163311.001115777,2019,manipur
118,imphal east district,TOTAL,79728,206224069.84990168,2019,manipur
119,thoubal district,TOTAL,25149,56874722.875841096,2019,manipur
120,kakching district,TOTAL,10786,21658629.891090117,2019,manipur
121,jiribam district,TOTAL,6684,15754766.096758239,2019,manipur
122,ukhrul district,TOTAL,11017,25516446.138604183,2019,manipur
123,tamenglong district,TOTAL,9939,22282886.130792048,2019,manipur
124,kamjong district,TOTAL,1537,3909906.0631627766,2019,manipur
125,chandel district,TOTAL,9230,20201420.061846673,2019,manipur
126,bishnupur district,TOTAL,23755,49667965.86779255,2019,manipur
127,senapati district,TOTAL,5730,12992196.559651546,2019,manipur
128,pherzawl district,TOTAL,370,763600.6287200841,2019,manipur
129,churachandpur district,TOTAL,23946,67550608.43753463,2019,manipur
130,tengnoupal district,TOTAL,7570,21841055.2655591,2019,manipur
131,imphal west district,TOTAL,101022,266880799.50360966,2019,manipur
132,kangpokpi district,TOTAL,28686,74931231.19366804,2019,manipur
133,noney district,TOTAL,6326,14165358.767545234,2019,manipur
134,imphal east district,TOTAL,96589,249197379.8585516,2019,manipur
135,thoubal district,TOTAL,32971,73727196.96627039,2019,manipur
136,kakching district,TOTAL,12984,31541265.82204684,2019,manipur
137,jiribam district,TOTAL,7943,19814795.854595695,2019,manipur
138,ukhrul district,TOTAL,12148,33065935.196690496,2019,manipur
139,tamenglong district,TOTAL,11954,27326669.899029642,2019,manipur
140,kamjong district,TOTAL,1618,5668618.53808438,2019,manipur
141,chandel district,TOTAL,11650,30393939.871451408,2019,manipur
142,bishnupur district,TOTAL,31835,72704593.78015086,2019,manipur
143,senapati district,TOTAL,7994,15860386.82079871,2019,manipur
144,pherzawl district,TOTAL,537,1737007.4828713536,2019,manipur
145,churachandpur district,TOTAL,26420,76031748.45585427,2019,manipur
146,tengnoupal district,TOTAL,9616,28805257.528178874,2019,manipur
147,imphal west district,TOTAL,150073,445926296.0528502,2019,manipur
148,kangpokpi district,TOTAL,33643,81400323.90620552,2020,manipur
149,noney district,TOTAL,8941,23331883.38449249,2020,manipur
150,imphal east district,TOTAL,97573,222479758.42504126,2020,manipur
151,thoubal district,TOTAL,40558,92413414.3395817,2020,manipur
152,kakching district,TOTAL,16690,37525920.22436564,2020,manipur
153,jiribam district,TOTAL,8704,20332072.3920429,2020,manipur
154,ukhrul district,TOTAL,13355,30659040.231015503,2020,manipur
155,tamenglong district,TOTAL,14451,31491246.17045552,2020,manipur
156,kamjong district,TOTAL,2768,6910208.366847619,2020,manipur
157,chandel district,TOTAL,13716,31278977.085135248,2020,manipur
158,bishnupur district,TOTAL,40172,83818557.86725357,2020,manipur
159,senapati district,TOTAL,9922,18344875.736180037,2020,manipur
160,pherzawl district,TOTAL,982,1624394.409407775,2020,manipur
161,churachandpur district,TOTAL,33637,84566221.4462608,2020,manipur
162,tengnoupal district,TOTAL,12297,33219739.526860353,2020,manipur
163,imphal west district,TOTAL,471392,1799193747.3658047,2020,manipur
164,kangpokpi district,TOTAL,48617,105034881.03695941,2020,manipur
165,noney district,TOTAL,14604,44082720.741025195,2020,manipur
166,imphal east district,TOTAL,127255,269647863.43556607,2020,manipur
167,thoubal district,TOTAL,66183,158615301.51328385,2020,manipur
168,kakching district,TOTAL,30404,53791181.45126964,2020,manipur
169,jiribam district,TOTAL,13861,28862256.51424871,2020,manipur
170,ukhrul district,TOTAL,24243,43560417.96634197,2020,manipur
171,tamenglong district,TOTAL,21294,47020896.803083815,2020,manipur
172,kamjong district,TOTAL,4430,11168145.844261197,2020,manipur
173,chandel district,TOTAL,21517,49008541.100852005,2020,manipur
174,bishnupur district,TOTAL,70841,142299534.95281482,2020,manipur
175,senapati district,TOTAL,17187,27792929.58458709,2020,manipur
176,pherzawl district,TOTAL,1363,4220742.5953207435,2020,manipur
177,churachandpur district,TOTAL,50818,128936170.25492851,2020,manipur
178,tengnoupal district,TOTAL,18676,50033115.318425305,2020,manipur
179,imphal west district,TOTAL,551775,2034861513.6925411,2020,manipur
180,kangpokpi district,TOTAL,56646,141494952.88474357,2020,manipur
181,noney district,TOTAL,12955,42576247.00801732,2020,manipur
182,imphal east district,TOTAL,148992,357420385.46601486,2020,manipur
183,thoubal district,TOTAL,75667,178314817.40950677,2020,manipur
184,kakching district,TOTAL,33268,72744605.62932977,2020,manipur
185,jiribam district,TOTAL,17173,44785891.80461171,2020,manipur
186,ukhrul district,TOTAL,27857,63120519.96337035,2020,manipur
187,tamenglong district,TOTAL,24595,57102594.74572652,2020,manipur
188,kamjong district,TOTAL,5040,16944663.485157657,2020,manipur
189,chandel district,TOTAL,25158,63504521.07112962,2020,manipur
190,bishnupur district,TOTAL,82097,178752852.0332132,2020,manipur
191,senapati district,TOTAL,22336,47618195.960208856,2020,manipur
192,pherzawl district,TOTAL,2016,4920973.997680077,2020,manipur
193,churachandpur district,TOTAL,61160,179008408.76793516,2020,manipur
194,tengnoupal district,TOTAL,19244,50761115.422037035,2020,manipur
195,imphal west district,TOTAL,805964,3116905375.2218285,2020,manipur
196,kangpokpi district,TOTAL,74472,216458503.28856832,2020,manipur
197,noney district,TOTAL,14618,52819316.83640482,2020,manipur
198,imphal east district,TOTAL,179438,524041651.00012255,2020,manipur
199,thoubal district,TOTAL,87208,249311101.38298762,2020,manipur
200,kakching district,TOTAL,37180,96767393.90324815,2020,manipur
201,jiribam district,TOTAL,19898,56276520.99872882,2020,manipur
202,ukhrul district,TOTAL,32947,91688189.17603046,2020,manipur
203,tamenglong district,TOTAL,27674,77956516.78360562,2020,manipur
204,kamjong district,TOTAL,6676,21815826.79135724,2020,manipur
205,chandel district,TOTAL,31540,90473275.49273106,2020,manipur
206,bishnupur district,TOTAL,95869,267444206.38869548,2020,manipur
207,senapati district,TOTAL,27636,79537295.38666978,2020,manipur
208,pherzawl district,TOTAL,2329,4810299.528864712,2020,manipur
209,churachandpur district,TOTAL,71693,243354880.54309082,2020,manipur
210,tengnoupal district,TOTAL,23797,81989716.00595729,2020,manipur
211,imphal west district,TOTAL,894877,3447479864.9516916,2020,manipur
212,kangpokpi district,TOTAL,63234,205050443.8236801,2021,manipur
213,noney district,TOTAL,12635,47249169.68840321,2021,manipur
214,imphal east district,TOTAL,161841,530028907.0928848,2021,manipur
215,thoubal district,TOTAL,72593,240713473.6681419,2021,manipur
216,kakching district,TOTAL,29803,92307870.36114596,2021,manipur
217,jiribam district,TOTAL,16697,58448279.737162024,2021,manipur
218,ukhrul district,TOTAL,22415,68745913.46443734,2021,manipur
219,tamenglong district,TOTAL,20962,72960342.05136192,2021,manipur
220,kamjong district,TOTAL,6312,24926447.76105148,2021,manipur
221,chandel district,TOTAL,23884,80445733.20656839,2021,manipur
222,bishnupur district,TOTAL,73777,255486792.7272072,2021,manipur
223,senapati district,TOTAL,22025,73777202.5143657,2021,manipur
224,pherzawl district,TOTAL,1714,4788028.467703758,2021,manipur
225,churachandpur district,TOTAL,62755,250250943.40948159,2021,manipur
226,tengnoupal district,TOTAL,19430,102554591.19717449,2021,manipur
227,imphal west district,TOTAL,1693458,4962553375.308464,2021,manipur
228,kangpokpi district,TOTAL,78765,236369410.09906262,2021,manipur
229,noney district,TOTAL,13296,49460189.27496501,2021,manipur
230,imphal east district,TOTAL,179337,491977805.9791717,2021,manipur
231,thoubal district,TOTAL,91264,268514237.48815316,2021,manipur
232,kakching district,TOTAL,37444,92311646.34027098,2021,manipur
233,jiribam district,TOTAL,21823,67560643.64335921,2021,manipur
234,ukhrul district,TOTAL,28524,81225585.7217874,2021,manipur
235,tamenglong district,TOTAL,24852,77929754.45097202,2021,manipur
236,kamjong district,TOTAL,6983,31394830.195748344,2021,manipur
237,chandel district,TOTAL,29178,90054101.93360364,2021,manipur
238,bishnupur district,TOTAL,89095,260900495.16290623,2021,manipur
239,senapati district,TOTAL,25681,70219657.8819672,2021,manipur
240,pherzawl district,TOTAL,1842,5443830.799674254,2021,manipur
241,churachandpur district,TOTAL,80524,273962339.3949944,2021,manipur
242,tengnoupal district,TOTAL,23771,94806974.44450317,2021,manipur
243,imphal west district,TOTAL,2353896,5697696459.585503,2021,manipur
244,kangpokpi district,TOTAL,94883,299760833.40438926,2021,manipur
245,noney district,TOTAL,16371,63161488.24690456,2021,manipur
246,imphal east district,TOTAL,226128,705081475.2381085,2021,manipur
247,thoubal district,TOTAL,113257,363547884.1177802,2021,manipur
248,kakching district,TOTAL,44277,128692670.00805303,2021,manipur
249,jiribam district,TOTAL,26615,80773937.39020777,2021,manipur
250,ukhrul district,TOTAL,35250,118509943.90387845,2021,manipur
251,tamenglong district,TOTAL,33266,108769884.20480461,2021,manipur
252,kamjong district,TOTAL,7567,32384455.496498216,2021,manipur
253,chandel district,TOTAL,36126,116052040.78947881,2021,manipur
254,bishnupur district,TOTAL,104901,320379628.1976948,2021,manipur
255,senapati district,TOTAL,30580,94805880.65418252,2021,manipur
256,pherzawl district,TOTAL,2176,6654015.070624737,2021,manipur
257,churachandpur district,TOTAL,109913,397548796.562021,2021,manipur
258,tengnoupal district,TOTAL,32351,133669134.59317195,2021,manipur
259,imphal west district,TOTAL,3027735,7437068961.027054,2021,manipur
260,kangpokpi district,TOTAL,107329,318563859.82046556,2021,manipur
261,noney district,TOTAL,18970,68519523.59000592,2021,manipur
262,imphal east district,TOTAL,268205,853764884.9988655,2021,manipur
263,thoubal district,TOTAL,130316,393043161.28167,2021,manipur
264,kakching district,TOTAL,43224,130159064.31913412,2021,manipur
265,jiribam district,TOTAL,30742,97241435.32166685,2021,manipur
266,ukhrul district,TOTAL,38665,142778895.31045908,2021,manipur
267,tamenglong district,TOTAL,40279,140792582.9323008,2021,manipur
268,kamjong district,TOTAL,8685,32152837.655377008,2021,manipur
269,chandel district,TOTAL,39891,131651667.09783676,2021,manipur
270,bishnupur district,TOTAL,113386,369885898.8351996,2021,manipur
271,senapati district,TOTAL,33983,119108747.24317983,2021,manipur
272,pherzawl district,TOTAL,2553,4851553.5065681385,2021,manipur
273,churachandpur district,TOTAL,121140,446895232.6851511,2021,manipur
274,tengnoupal district,TOTAL,40383,154956864.23616886,2021,manipur
275,imphal west district,TOTAL,3649688,9254105829.377777,2021,manipur
276,kangpokpi district,TOTAL,120614,361422857.4778744,2022,manipur
277,noney district,TOTAL,21683,81975537.65019315,2022,manipur
278,imphal east district,TOTAL,298053,926298622.7916505,2022,manipur
279,thoubal district,TOTAL,159443,465999965.9324683,2022,manipur
280,kakching district,TOTAL,45714,129009720.36301753,2022,manipur
281,jiribam district,TOTAL,33214,106952141.35335837,2022,manipur
282,ukhrul district,TOTAL,45977,163211543.8876433,2022,manipur
283,tamenglong district,TOTAL,53325,182059187.8775179,2022,manipur
284,kamjong district,TOTAL,10050,38396927.57850355,2022,manipur
285,chandel district,TOTAL,46964,156821048.33140564,2022,manipur
286,bishnupur district,TOTAL,129775,410979761.59592944,2022,manipur
287,senapati district,TOTAL,41815,150533112.28282666,2022,manipur
288,pherzawl district,TOTAL,3014,6196514.84182024,2022,manipur
289,churachandpur district,TOTAL,132079,478282953.14129984,2022,manipur
290,tengnoupal district,TOTAL,42399,154983910.95505172,2022,manipur
291,imphal west district,TOTAL,4129560,10331377272.313238,2022,manipur
292,kangpokpi district,TOTAL,127346,360381229.2430087,2022,manipur
293,noney district,TOTAL,23197,84254940.12916884,2022,manipur
294,imphal east district,TOTAL,334382,1017003992.8811903,2022,manipur
295,thoubal district,TOTAL,179962,489921006.2514488,2022,manipur
296,kakching district,TOTAL,45754,124881636.16645998,2022,manipur
297,jiribam district,TOTAL,32691,103428721.0901084,2022,manipur
298,ukhrul district,TOTAL,48388,165524493.50724024,2022,manipur
299,tamenglong district,TOTAL,48779,158669784.21199045,2022,manipur
300,kamjong district,TOTAL,10915,37728133.785688624,2022,manipur
301,chandel district,TOTAL,44845,161255425.28835768,2022,manipur
302,bishnupur district,TOTAL,132234,427663723.98262036,2022,manipur
303,senapati district,TOTAL,43777,137415599.89701584,2022,manipur
304,pherzawl district,TOTAL,2855,8843983.191407474,2022,manipur
305,churachandpur district,TOTAL,130821,445674066.4756689,2022,manipur
306,tengnoupal district,TOTAL,41686,165158485.2610599,2022,manipur
307,imphal west district,TOTAL,4858000,11035105413.786879,2022,manipur
308,kangpokpi district,TOTAL,137088,382055039.8651606,2022,manipur
309,noney district,TOTAL,24931,85439369.23237866,2022,manipur
310,imphal east district,TOTAL,401052,1106024473.2650971,2022,manipur
311,thoubal district,TOTAL,198398,502784611.8050358,2022,manipur
312,kakching district,TOTAL,114178,269711112.45492435,2022,manipur
313,jiribam district,TOTAL,39634,115824259.87868573,2022,manipur
314,ukhrul district,TOTAL,48127,165404721.91649568,2022,manipur
315,tamenglong district,TOTAL,48889,150947198.95233533,2022,manipur
316,kamjong district,TOTAL,10597,34540807.45741892,2022,manipur
317,chandel district,TOTAL,43042,139937266.69668734,2022,manipur
318,bishnupur district,TOTAL,126573,397535713.9599227,2022,manipur
319,senapati district,TOTAL,46116,141106697.64180183,2022,manipur
320,pherzawl district,TOTAL,3137,8974350.656289712,2022,manipur
321,churachandpur district,TOTAL,200968,560754898.7150536,2022,manipur
322,tengnoupal district,TOTAL,44324,167247032.01495245,2022,manipur
323,imphal west district,TOTAL,4865688,11153142712.787489,2022,manipur
324,kangpokpi district,TOTAL,195796,499527018.93453866,2022,manipur
325,noney district,TOTAL,26985,75780551.02724609,2022,manipur
326,imphal east district,TOTAL,417476,1124061241.8453987,2022,manipur
327,thoubal district,TOTAL,252156,642341521.1672155,2022,manipur
328,kakching district,TOTAL,205827,477287512.8489387,2022,manipur
329,jiribam district,TOTAL,43510,122910899.30361357,2022,manipur
330,ukhrul district,TOTAL,48379,164810102.766275,2022,manipur
331,tamenglong district,TOTAL,51040,160602196.99791262,2022,manipur
332,kamjong district,TOTAL,12943,35804745.19811843,2022,manipur
333,chandel district,TOTAL,45646,133101652.30134834,2022,manipur
334,bishnupur district,TOTAL,134155,398215642.6664851,2022,manipur
335,senapati district,TOTAL,63745,180730794.8423508,2022,manipur
336,pherzawl district,TOTAL,3998,12008369.41204643,2022,manipur
337,churachandpur district,TOTAL,139622,418292018.1391273,2022,manipur
338,tengnoupal district,TOTAL,49553,175755833.191996,2022,manipur
339,imphal west district,TOTAL,4737839,11004726597.698875,2022,manipur
340,karaikal district,TOTAL,10266,17996501.51665456,2018,puducherry
341,puducherry district,TOTAL,86486,136205607.94582328,2018,puducherry
342,yanam district,TOTAL,5948,9167584.996845197,2018,puducherry
343,mahe district,TOTAL,1512,2456276.910513108,2018,puducherry
344,karaikal district,TOTAL,18649,42127264.52392844,2018,puducherry
345,puducherry district,TOTAL,102722,224950541.63276505,2018,puducherry
346,yanam district,TOTAL,6204,15165659.150808567,2018,puducherry
347,mahe district,TOTAL,2686,3557654.224934818,2018,puducherry
348,karaikal district,TOTAL,23605,56668700.117854595,2018,puducherry
349,puducherry district,TOTAL,147716,334779012.2520994,2018,puducherry
350,yanam district,TOTAL,14243,20556914.723959483,2018,puducherry
351,mahe district,TOTAL,4707,5653448.400293597,2018,puducherry
352,karaikal district,TOTAL,34809,77106295.39277278,2018,puducherry
353,puducherry district,TOTAL,253397,511150128.28504336,2018,puducherry
354,yanam district,TOTAL,14991,30135590.749616217,2018,puducherry
355,mahe district,TOTAL,4767,7299650.996062614,2018,puducherry
356,karaikal district,TOTAL,47329,97328630.03167163,2019,puducherry
357,puducherry district,TOTAL,422723,753546044.3241928,2019,puducherry
358,yanam district,TOTAL,24489,44751664.92796348,2019,puducherry
359,mahe district,TOTAL,6551,10846685.022694789,2019,puducherry
360,karaikal district,TOTAL,31079,75135164.18826595,2019,puducherry
361,puducherry district,TOTAL,519810,1075863296.3940065,2019,puducherry
362,yanam district,TOTAL,23022,49923875.40922065,2019,puducherry
363,mahe district,TOTAL,6166,10524574.13631358,2019,puducherry
364,karaikal district,TOTAL,45737,101419895.43809406,2019,puducherry
365,puducherry district,TOTAL,629431,1279933924.0902395,2019,puducherry
366,yanam district,TOTAL,33240,64060521.00575118,2019,puducherry
367,mahe district,TOTAL,8418,15294016.92132694,2019,puducherry
368,karaikal district,TOTAL,58510,122162466.31398116,2019,puducherry
369,puducherry district,TOTAL,893985,1700000398.3563335,2019,puducherry
370,yanam district,TOTAL,48736,91368451.74732454,2019,puducherry
371,mahe district,TOTAL,11424,18497001.461263284,2019,puducherry
372,karaikal district,TOTAL,68088,136347281.23095745,2020,puducherry
373,puducherry district,TOTAL,1060927,1916832756.3287992,2020,puducherry
374,yanam district,TOTAL,65016,129871509.51094082,2020,puducherry
375,mahe district,TOTAL,13890,22225930.008886866,2020,puducherry
376,karaikal district,TOTAL,64779,128626212.88011405,2020,puducherry
377,puducherry district,TOTAL,868930,1652466844.3605218,2020,puducherry
378,yanam district,TOTAL,78024,142084095.5188939,2020,puducherry
379,mahe district,TOTAL,21650,36853827.72806046,2020,puducherry
380,karaikal district,TOTAL,85556,201796443.9712459,2020,puducherry
381,puducherry district,TOTAL,1515874,3144232151.6990056,2020,puducherry
382,yanam district,TOTAL,105613,212350487.31674817,2020,puducherry
383,mahe district,TOTAL,23859,39701146.44760118,2020,puducherry
384,karaikal district,TOTAL,141895,310516002.7690573,2020,puducherry
385,puducherry district,TOTAL,2349454,4194543311.9718037,2020,puducherry
386,yanam district,TOTAL,182547,363312761.96402323,2020,puducherry
387,mahe district,TOTAL,42107,62154140.96632716,2020,puducherry
388,karaikal district,TOTAL,161642,360807458.7675149,2021,puducherry
389,puducherry district,TOTAL,2920236,5086390412.089685,2021,puducherry
390,yanam district,TOTAL,178609,375222411.57040197,2021,puducherry
391,mahe district,TOTAL,48945,76889289.31604216,2021,puducherry
392,karaikal district,TOTAL,169944,352528451.69910693,2021,puducherry
393,puducherry district,TOTAL,3316123,5610649880.723415,2021,puducherry
394,yanam district,TOTAL,212893,448908146.53298205,2021,puducherry
395,mahe district,TOTAL,52427,86748217.58839178,2021,puducherry
396,karaikal district,TOTAL,241468,508474640.4041999,2021,puducherry
397,puducherry district,TOTAL,4514763,7530306876.968773,2021,puducherry
398,yanam district,TOTAL,289263,571731114.8773613,2021,puducherry
399,mahe district,TOTAL,76232,119461798.76413691,2021,puducherry
400,karaikal district,TOTAL,300601,586375959.8099658,2021,puducherry
401,puducherry district,TOTAL,5606990,8973636725.35894,2021,puducherry
402,yanam district,TOTAL,360182,704806775.357012,2021,puducherry
403,mahe district,TOTAL,101037,158832340.7045973,2021,puducherry
404,karaikal district,TOTAL,362403,702448183.2222146,2022,puducherry
405,puducherry district,TOTAL,6470067,10377036935.727272,2022,puducherry
406,yanam district,TOTAL,410527,819248314.3131009,2022,puducherry
407,mahe district,TOTAL,116179,184741472.12407243,2022,puducherry
408,karaikal district,TOTAL,417480,788877561.2769251,2022,puducherry
409,puducherry district,TOTAL,7617058,11822245859.332415,2022,puducherry
410,yanam district,TOTAL,481753,963312236.3090451,2022,puducherry
411,mahe district,TOTAL,127396,204309598.85051042,2022,puducherry
412,karaikal district,TOTAL,456795,825576112.2167913,2022,puducherry
413,puducherry district,TOTAL,5992740,8962290618.748474,2022,puducherry
414,yanam district,TOTAL,466305,876565449.6380186,2022,puducherry
415,mahe district,TOTAL,126887,189885530.5376592,2022,puducherry
416,karaikal district,TOTAL,488147,837406336.5163367,2022,puducherry
417,puducherry district,TOTAL,6382870,9121245940.116945,2022,puducherry
418,yanam district,TOTAL,536311,969860108.2593638,2022,puducherry
419,mahe district,TOTAL,148799,213692492.28184882,2022,puducherry
420,south district,TOTAL,11355,16098282.748140384,2018,sikkim
421,west district,TOTAL,4845,7468491.334182342,2018,sikkim
422,east district,TOTAL,24432,35907388.054869555,2018,sikkim
423,north district,TOTAL,3446,5176776.803176152,2018,sikkim
424,south district,TOTAL,16740,27651617.534535274,2018,sikkim
425,west district,TOTAL,10671,19368446.48352459,2018,sikkim
426,east district,TOTAL,40432,83823658.19224699,2018,sikkim
427,north district,TOTAL,6735,12849363.319488723,2018,sikkim
428,south district,TOTAL,24662,40036375.9623436,2018,sikkim
429,west district,TOTAL,14121,33797876.56771384,2018,sikkim
