,State name,Type,Count,Amount,Year
179,uttarakhand,TOTAL,5546001,7183529175.274033,2019
180,puducherry,TOTAL,580077,1211446910.127807,2019
181,tamil nadu,TOTAL,32171737,64207676025.75553,2019
182,uttar pradesh,TOTAL,58883500,98917519370.67831,2019
183,madhya pradesh,TOTAL,40846013,68334566380.56182,2019
184,andhra pradesh,TOTAL,56409015,113634518758.22931,2019
185,tripura,TOTAL,532558,841821482.8473747,2019
186,lakshadweep,TOTAL,2926,9242524.13698889,2019
187,manipur,TOTAL,257425,722789942.1495004,2019
188,maharashtra,TOTAL,101149853,153294470088.05945,2019
189,dadra & nagar haveli & daman & diu,TOTAL,489656,824441276.56507,2019
190,meghalaya,TOTAL,232286,492931289.1072781,2019
191,andaman & nicobar islands,TOTAL,33689,120254709.6756632,2019
192,haryana,TOTAL,22741816,42501539813.21669,2019
193,rajasthan,TOTAL,50009286,89107313172.66756,2019
194,ladakh,TOTAL,68772,259255506.9974248,2019
195,punjab,TOTAL,8509830,18614793394.772213,2019
196,assam,TOTAL,5454929,10954969189.126175,2019
197,jharkhand,TOTAL,10128211,18622701305.54623,2019
198,odisha,TOTAL,29512024,44754854871.67608,2019
199,bihar,TOTAL,29960479,63132438283.54397,2019
200,kerala,TOTAL,7283826,13031371561.185568,2019
201,karnataka,TOTAL,115401604,163702024226.0841,2019
202,chandigarh,TOTAL,1252470,2693116098.9444556,2019
203,telangana,TOTAL,89610379,155676443182.43457,2019
204,himachal pradesh,TOTAL,2502306,4875883973.61058,2019
205,west bengal,TOTAL,47023535,57105691119.11844,2019
206,gujarat,TOTAL,28981842,49320615219.26732,2019
207,sikkim,TOTAL,388244,738894243.4359412,2019
208,nagaland,TOTAL,188753,520066682.1585048,2019
209,mizoram,TOTAL,75671,248016708.13501447,2019
210,chhattisgarh,TOTAL,9389945,17002355688.82225,2019
211,jammu & kashmir,TOTAL,2296355,6100142201.563448,2019
212,goa,TOTAL,768441,1591867103.3876143,2019
213,arunachal pradesh,TOTAL,258656,752655874.3550282,2019
214,delhi,TOTAL,57171512,81706816063.62862,2019
215,uttarakhand,TOTAL,4813275,8588532850.9184885,2019
216,puducherry,TOTAL,716826,1460708357.4554102,2019
217,tamil nadu,TOTAL,41410183,78959604643.63503,2019
218,uttar pradesh,TOTAL,68623959,111268137475.02843,2019
219,madhya pradesh,TOTAL,53610411,77676321491.22867,2019
220,andhra pradesh,TOTAL,76288614,139447944254.78943,2019
221,tripura,TOTAL,711717,1017377422.817224,2019
222,lakshadweep,TOTAL,3104,9651761.463768471,2019
223,manipur,TOTAL,345008,863552002.562933,2019
224,maharashtra,TOTAL,148735581,199617506744.94272,2019
225,dadra & nagar haveli & daman & diu,TOTAL,638751,961471473.8483732,2019
226,meghalaya,TOTAL,306550,612218602.153532,2019
227,andaman & nicobar islands,TOTAL,33770,114071776.08729392,2019
228,haryana,TOTAL,30343531,52489119199.44011,2019
229,rajasthan,TOTAL,67303617,112468290031.92343,2019
230,ladakh,TOTAL,92396,331129527.19382226,2019
231,punjab,TOTAL,10706812,22905815605.843315,2019
232,assam,TOTAL,5942571,12950443620.426579,2019
233,jharkhand,TOTAL,14220647,21465973993.35938,2019
234,odisha,TOTAL,41422272,57304577359.217094,2019
235,bihar,TOTAL,32139900,67692783254.273834,2019
236,kerala,TOTAL,9286096,16429809722.064445,2019
237,karnataka,TOTAL,170733735,214536720438.18292,2019
238,chandigarh,TOTAL,1506543,3269682087.6608405,2019
239,telangana,TOTAL,121495376,201930021130.42365,2019
240,himachal pradesh,TOTAL,2735180,5572018781.123304,2019
241,west bengal,TOTAL,66444829,70540532616.82985,2019
242,gujarat,TOTAL,38228649,59462694964.26753,2019
243,sikkim,TOTAL,552436,884716448.4404289,2019
244,nagaland,TOTAL,261878,650956471.7134112,2019
245,mizoram,TOTAL,98094,278793899.9513421,2019
246,chhattisgarh,TOTAL,12243111,19803259167.45372,2019
247,jammu & kashmir,TOTAL,1116526,3744230491.7824554,2019
248,goa,TOTAL,1092416,2000367191.496843,2019
249,arunachal pradesh,TOTAL,370234,912645034.7958709,2019
250,delhi,TOTAL,69537876,103196812046.45712,2019
251,uttarakhand,TOTAL,5710476,9729032070.017406,2019
252,puducherry,TOTAL,1012655,1932028317.878899,2019
253,tamil nadu,TOTAL,56596411,103190865512.53719,2019
254,uttar pradesh,TOTAL,86905005,145538926507.3059,2019
255,madhya pradesh,TOTAL,68131989,104687926790.86589,2019
256,andhra pradesh,TOTAL,107218103,200948315488.80518,2019
257,tripura,TOTAL,801824,1215400160.2581887,2019
258,lakshadweep,TOTAL,3765,11269913.40492385,2019
259,manipur,TOTAL,449344,1200897682.088641,2019
260,maharashtra,TOTAL,201260620,272994428799.5649,2019
261,dadra & nagar haveli & daman & diu,TOTAL,768971,1226641262.0110402,2019
262,meghalaya,TOTAL,365981,742436471.7902198,2019
263,andaman & nicobar islands,TOTAL,35159,136838530.5173779,2019
264,haryana,TOTAL,37825985,69359719869.10008,2019
265,rajasthan,TOTAL,85074242,159452410049.68317,2019
266,ladakh,TOTAL,84706,324689360.02811134,2019
267,punjab,TOTAL,13698625,29989802246.19331,2019
268,assam,TOTAL,6760510,15281983895.512564,2019
269,jharkhand,TOTAL,18248618,28147748376.677704,2019
270,odisha,TOTAL,64995633,79769373632.04843,2019
271,bihar,TOTAL,43530314,93313426577.80905,2019
272,kerala,TOTAL,12498637,21151326637.805134,2019
273,karnataka,TOTAL,237796252,295047143447.23846,2019
274,chandigarh,TOTAL,1850915,4152513817.939354,2019
275,telangana,TOTAL,163572258,280746765547.7425,2019
276,himachal pradesh,TOTAL,3516646,7271163537.248161,2019
277,west bengal,TOTAL,96805838,88203610254.64601,2019
278,gujarat,TOTAL,42547632,76690662054.91542,2019
279,sikkim,TOTAL,767070,1176509601.6562185,2019
280,nagaland,TOTAL,317170,834537138.3487777,2019
281,mizoram,TOTAL,125239,368689350.6344881,2019
282,chhattisgarh,TOTAL,16305758,27143788737.21397,2019
283,jammu & kashmir,TOTAL,489928,1929695997.8225975,2019
284,goa,TOTAL,1515272,2923460348.4994645,2019
285,arunachal pradesh,TOTAL,459475,1190573179.5272837,2019
286,delhi,TOTAL,80744997,129024467424.89062,2019
287,uttarakhand,TOTAL,7362116,12573706305.150612,2019
288,puducherry,TOTAL,1207921,2205277477.079584,2020
289,tamil nadu,TOTAL,66953473,116569686179.4346,2020
290,uttar pradesh,TOTAL,97239132,172416434960.69037,2020
291,madhya pradesh,TOTAL,79366746,126737281436.18526,2020
292,andhra pradesh,TOTAL,127677357,252737214289.0485,2020
293,tripura,TOTAL,924502,1588778806.3885012,2020
294,lakshadweep,TOTAL,5151,13502368.57450421,2020
295,manipur,TOTAL,818801,2598590380.8769474,2020
296,maharashtra,TOTAL,238944081,319995196718.0683,2020
297,dadra & nagar haveli & daman & diu,TOTAL,878579,1342763369.292519,2020
298,meghalaya,TOTAL,502283,1120134840.9078057,2020
299,andaman & nicobar islands,TOTAL,41298,161476312.2972747,2020
300,haryana,TOTAL,44036087,81976214558.24355,2020
301,rajasthan,TOTAL,102258812,190308238561.00217,2020
302,ladakh,TOTAL,116419,377639677.4457431,2020
303,punjab,TOTAL,15217784,31374185265.899654,2020
304,assam,TOTAL,8808860,20668428347.72898,2020
305,jharkhand,TOTAL,18282713,33611232153.269115,2020
306,odisha,TOTAL,53682307,91956798199.33679,2020
307,bihar,TOTAL,45081815,109256853527.24524,2020
308,kerala,TOTAL,15733522,26451084830.93425,2020
309,karnataka,TOTAL,271033890,353402054999.4004,2020
310,chandigarh,TOTAL,2262511,5126453070.016205,2020
311,telangana,TOTAL,199409525,371343780368.2118,2020
312,himachal pradesh,TOTAL,4144480,7419466751.122733,2020
313,west bengal,TOTAL,66250381,96653305190.9406,2020
314,gujarat,TOTAL,47326417,86995076621.90231,2020
315,sikkim,TOTAL,528118,1053476271.9444009,2020
316,nagaland,TOTAL,378051,894780028.7343724,2020
317,mizoram,TOTAL,153609,392077579.3496374,2020
318,chhattisgarh,TOTAL,19523991,32860597671.356686,2020
319,jammu & kashmir,TOTAL,921630,2937643176.534005,2020
320,goa,TOTAL,1881237,3410371231.9237647,2020
321,arunachal pradesh,TOTAL,567175,1381758681.3301477,2020
322,delhi,TOTAL,81747604,133616543642.58943,2020
323,uttarakhand,TOTAL,9131784,16158080258.987526,2020
324,puducherry,TOTAL,1033383,1960030980.4875922,2020
325,tamil nadu,TOTAL,51870110,95826508896.84135,2020
326,uttar pradesh,TOTAL,100851965,178744016130.31216,2020
327,madhya pradesh,TOTAL,76340573,147922015289.08447,2020
328,andhra pradesh,TOTAL,144917855,302583689746.5449,2020
329,tripura,TOTAL,1052520,1769175883.585958,2020
330,lakshadweep,TOTAL,7220,16942922.08594439,2020
331,manipur,TOTAL,1083068,3198936212.8055243,2020
332,maharashtra,TOTAL,184790761,296359517159.41614,2020
333,dadra & nagar haveli & daman & diu,TOTAL,973152,1302376453.8880572,2020
334,meghalaya,TOTAL,635395,1153735154.3383913,2020
335,andaman & nicobar islands,TOTAL,62962,169645001.41414702,2020
336,haryana,TOTAL,41781050,80711264923.94525,2020
337,rajasthan,TOTAL,101954656,193763273003.28284,2020
338,ladakh,TOTAL,155010,523792998.6520228,2020
339,punjab,TOTAL,14081294,30284654252.21334,2020
340,assam,TOTAL,10505199,19766300125.91926,2020
341,jharkhand,TOTAL,20141511,37486201975.923416,2020
342,odisha,TOTAL,50028576,91733036612.10583,2020
343,bihar,TOTAL,53386742,128806523628.85287,2020
344,kerala,TOTAL,16287967,25894078478.599953,2020
345,karnataka,TOTAL,213221712,321104877020.14185,2020
346,chandigarh,TOTAL,1528010,3847015729.690074,2020
347,telangana,TOTAL,152055143,321531839352.4224,2020
348,himachal pradesh,TOTAL,4695730,8036904762.544065,2020
349,west bengal,TOTAL,57676797,100099431877.35757,2020
350,gujarat,TOTAL,47420185,80387846359.49454,2020
351,sikkim,TOTAL,517731,1054618788.2612653,2020
352,nagaland,TOTAL,517566,1137674504.3478017,2020
353,mizoram,TOTAL,198462,457193433.4423174,2020
354,chhattisgarh,TOTAL,18820925,32268382206.900894,2020
355,jammu & kashmir,TOTAL,2635006,8265648939.258666,2020
356,goa,TOTAL,1482092,2183616430.016773,2020
357,arunachal pradesh,TOTAL,808774,1826716832.9849606,2020
358,delhi,TOTAL,66042018,107873438203.33162,2020
359,uttarakhand,TOTAL,9047770,16094187702.100985,2020
360,puducherry,TOTAL,1730902,3598080229.434597,2020
361,tamil nadu,TOTAL,70277825,143841415498.65747,2020
362,uttar pradesh,TOTAL,127405259,248689955423.05322,2020
363,madhya pradesh,TOTAL,108579881,205701679984.53757,2020
364,andhra pradesh,TOTAL,204902935,467084130584.93884,2020
365,tripura,TOTAL,1317885,2341819516.215885,2020
366,lakshadweep,TOTAL,8589,21306833.308656827,2020
367,manipur,TOTAL,1420168,4615976120.870485,2020
368,maharashtra,TOTAL,268310924,440307079012.4761,2020
369,dadra & nagar haveli & daman & diu,TOTAL,1138312,1749789114.9993598,2020
370,meghalaya,TOTAL,597579,1237059001.3830369,2020
371,andaman & nicobar islands,TOTAL,117483,338019446.3303601,2020
372,haryana,TOTAL,57938179,109567950445.72871,2020
373,rajasthan,TOTAL,149088676,293678306162.4698,2020
374,ladakh,TOTAL,228222,835487500.058193,2020
375,punjab,TOTAL,17209573,40123092147.81354,2020
376,assam,TOTAL,12397711,29831391259.543846,2020
377,jharkhand,TOTAL,27068473,50622615820.01348,2020
378,odisha,TOTAL,66033829,122463943804.29193,2020
379,bihar,TOTAL,71503748,173328865111.8144,2020
380,kerala,TOTAL,21758680,40164150651.95372,2020
381,karnataka,TOTAL,300360531,470740515696.6945,2020
382,chandigarh,TOTAL,2158086,5089809353.36507,2020
383,telangana,TOTAL,236372126,505961144755.88367,2020
384,himachal pradesh,TOTAL,5489876,10516054014.086905,2020
385,west bengal,TOTAL,79954504,156813355855.1383,2020
386,gujarat,TOTAL,59290179,111921752484.70932,2020
387,sikkim,TOTAL,596435,1400926728.6603994,2020
388,nagaland,TOTAL,736319,2009649143.1547942,2020
389,mizoram,TOTAL,254703,707944175.5046022,2020
390,chhattisgarh,TOTAL,24148539,41526744807.53401,2020
391,jammu & kashmir,TOTAL,3465898,11977229760.872362,2020
392,goa,TOTAL,1915531,3368343580.9446573,2020
393,arunachal pradesh,TOTAL,962827,2609938565.55822,2020
394,delhi,TOTAL,96491861,175163962804.6604,2020
395,uttarakhand,TOTAL,11818935,22103510968.006454,2020
396,puducherry,TOTAL,2716003,4930526217.671207,2020
397,tamil nadu,TOTAL,111179701,206473197500.99268,2020
398,uttar pradesh,TOTAL,178167517,357428826778.2578,2020
399,madhya pradesh,TOTAL,153652541,284275139772.3589,2020
400,andhra pradesh,TOTAL,286118552,654841546033.3186,2020
401,tripura,TOTAL,1651890,3182130996.2213116,2020
402,lakshadweep,TOTAL,11650,30111317.917080387,2020
403,manipur,TOTAL,1627852,5602224558.458768,2020
404,maharashtra,TOTAL,407621004,622155530832.2585,2020
405,dadra & nagar haveli & daman & diu,TOTAL,1817791,2700511100.828503,2020
406,meghalaya,TOTAL,754008,1804242572.1989727,2020
407,andaman & nicobar islands,TOTAL,224531,627282656.3148524,2020
408,haryana,TOTAL,83171439,159998504366.53964,2020
409,rajasthan,TOTAL,190283435,386034779836.48376,2020
410,ladakh,TOTAL,332134,1111963470.5079594,2020
411,punjab,TOTAL,22997925,53775406479.553894,2020
412,assam,TOTAL,15423454,40226611319.263756,2020
413,jharkhand,TOTAL,39431633,72805174830.04245,2020
414,odisha,TOTAL,92324950,178302663014.6175,2020
415,bihar,TOTAL,96591673,238905613136.47186,2020
416,kerala,TOTAL,33288187,56755256647.011795,2020
417,karnataka,TOTAL,431536984,658036698565.0032,2020
418,chandigarh,TOTAL,2912716,6146762901.349345,2020
419,telangana,TOTAL,343643787,696350439226.9453,2020
420,himachal pradesh,TOTAL,7272328,13989053108.813015,2020
421,west bengal,TOTAL,100340645,199165491365.6468,2020
422,gujarat,TOTAL,77828547,148393060112.4366,2020
423,sikkim,TOTAL,735035,1919275805.122922,2020
424,nagaland,TOTAL,847825,2773084870.5627017,2020
425,mizoram,TOTAL,322607,986522115.6939572,2020
426,chhattisgarh,TOTAL,35529636,62214974283.94806,2020
427,jammu & kashmir,TOTAL,5754444,15380905803.378227,2020
428,goa,TOTAL,3801381,6899792747.579928,2020
429,arunachal pradesh,TOTAL,1209129,3570264021.8456187,2020
430,delhi,TOTAL,120540417,216265088224.5436,2020
431,uttarakhand,TOTAL,17613271,31792739329.110085,2020
432,puducherry,TOTAL,3309432,5899309571.743641,2021
433,tamil nadu,TOTAL,136556674,248668143873.65317,2021
434,uttar pradesh,TOTAL,204499547,396287587577.5575,2021
435,madhya pradesh,TOTAL,201998498,343533954382.3015,2021
436,andhra pradesh,TOTAL,289747970,672444670176.5881,2021
437,tripura,TOTAL,1511423,3335341569.793424,2021
438,lakshadweep,TOTAL,9085,27042782.914081153,2021
439,manipur,TOTAL,2303535,7070287514.479244,2021
440,maharashtra,TOTAL,517860240,769887352153.2483,2021
441,dadra & nagar haveli & daman & diu,TOTAL,1925244,2965632911.1935043,2021
442,meghalaya,TOTAL,747646,2055515277.9898345,2021
443,andaman & nicobar islands,TOTAL,244752,783706567.3897561,2021
444,haryana,TOTAL,90252784,168938301082.4288,2021
445,rajasthan,TOTAL,252730919,491492581657.63354,2021
446,ladakh,TOTAL,275415,983419813.2468786,2021
447,punjab,TOTAL,26770835,58690887091.106735,2021
448,assam,TOTAL,19512060,51326464546.12217,2021
449,jharkhand,TOTAL,44621663,83749353123.13824,2021
450,odisha,TOTAL,111460358,213397736188.33783,2021
451,bihar,TOTAL,114932477,280973649701.2259,2021
452,kerala,TOTAL,42316342,69260970161.89497,2021
453,karnataka,TOTAL,523797492,754995357412.3948,2021
454,chandigarh,TOTAL,3970237,7596420859.545994,2021
455,telangana,TOTAL,412572110,799359264046.5657,2021
456,himachal pradesh,TOTAL,7614029,14120546909.487547,2021
457,west bengal,TOTAL,118254052,242937207475.5198,2021
458,gujarat,TOTAL,94774565,183700780713.44968,2021
459,sikkim,TOTAL,800189,2217667726.8407273,2021
460,nagaland,TOTAL,975897,3107450484.613187,2021
461,mizoram,TOTAL,329575,1101105586.9459367,2021
462,chhattisgarh,TOTAL,39436437,69409843261.55008,2021
463,jammu & kashmir,TOTAL,6997570,17138349893.151793,2021
464,goa,TOTAL,5331549,9757242879.021431,2021
465,arunachal pradesh,TOTAL,1177456,3813779079.0166435,2021
466,delhi,TOTAL,157359004,266928345043.49225,2021
467,uttarakhand,TOTAL,20608402,36288189399.89833,2021
468,puducherry,TOTAL,3751387,6498834696.543897,2021
469,tamil nadu,TOTAL,146158442,263487341026.54623,2021
470,uttar pradesh,TOTAL,241949131,482172489166.39343,2021
471,madhya pradesh,TOTAL,223314680,425500768035.631,2021
472,andhra pradesh,TOTAL,352767134,850737499108.2986,2021
473,tripura,TOTAL,1744429,3468154361.036266,2021
474,lakshadweep,TOTAL,11384,27383463.657951534,2021
475,manipur,TOTAL,3086275,7889827962.396657,2021
476,maharashtra,TOTAL,573616486,915115055623.7152,2021
477,dadra & nagar haveli & daman & diu,TOTAL,2125083,3157668461.418905,2021
478,meghalaya,TOTAL,909594,2193617254.8905916,2021
479,andaman & nicobar islands,TOTAL,341414,899147016.1122956,2021
480,haryana,TOTAL,105680856,200357354238.6818,2021
481,rajasthan,TOTAL,287477039,561702765169.2324,2021
482,ladakh,TOTAL,399716,1427259095.4703174,2021
