,Data From,Data To,Name,Type,Count,Amount,Year,Quater
36,1569868200000,1577471400000,Merchant payments,TOTAL,456578271,174239646473.03162,2019,Q4
37,1569868200000,1577471400000,Recharge & bill payments,TOTAL,285310032,116344996244.26738,2019,Q4
38,1569868200000,1577471400000,Financial Services,TOTAL,2476840,551204225.4200497,2019,Q4
39,1569868200000,1577471400000,Others,TOTAL,12583379,4811822509.649999,2019,Q4
40,1577817000000,1585333800000,Peer-to-peer payments,TOTAL,693998661,2320557268853.593,2020,Q1
41,1577817000000,1585333800000,Merchant payments,TOTAL,566355270,231298042209.83606,2020,Q1
42,1577817000000,1585333800000,Recharge & bill payments,TOTAL,351300991,140373550367.1558,2020,Q1
43,1577817000000,1585333800000,Financial Services,TOTAL,1358171,773848137.0300016,2020,Q1
44,1577817000000,1585333800000,Others,TOTAL,10027019,4116905195.8207293,2020,Q1
45,1585679400000,1593282600000,Peer-to-peer payments,TOTAL,631031364,2243915932390.771,2020,Q2
46,1585679400000,1593282600000,Recharge & bill payments,TOTAL,448842692,171590686463.15784,2020,Q2
47,1585679400000,1593282600000,Merchant payments,TOTAL,363275861,226908226049.51398,2020,Q2
48,1585679400000,1593282600000,Financial Services,TOTAL,1682062,1751767444.1000087,2020,Q2
49,1585679400000,1593282600000,Others,TOTAL,3779461,1987466180.2098684,2020,Q2
50,1593541800000,1601231400000,Peer-to-peer payments,TOTAL,916790263,3287051873253.504,2020,Q3
51,1593541800000,1601231400000,Merchant payments,TOTAL,672019839,405291207894.2984,2020,Q3
52,1593541800000,1601231400000,Recharge & bill payments,TOTAL,436172619,204262355709.72183,2020,Q3
53,1593541800000,1601231400000,Financial Services,TOTAL,2531978,2673063432.9600067,2020,Q3
54,1593541800000,1601231400000,Others,TOTAL,5541374,2789907563.6502213,2020,Q3
55,1601490600000,1609093800000,Peer-to-peer payments,TOTAL,1249512647,4474548495095.518,2020,Q4
56,1601490600000,1609093800000,Merchant payments,TOTAL,1127490136,684873639322.252,2020,Q4
57,1601490600000,1609093800000,Recharge & bill payments,TOTAL,479784084,227875840842.1121,2020,Q4
