,District,Pincode,No of Registered User,Year,state,Quater
142,null,194106,1803,2020,ladakh,Q4
143,null,194109,1697,2020,ladakh,Q4
144,leh ladakh,0,54095,2021,ladakh,Q1
145,kargil,0,15824,2021,ladakh,Q1
146,null,194104,15511,2021,ladakh,Q1
147,null,194101,13620,2021,ladakh,Q1
148,null,194201,10674,2021,ladakh,Q1
149,null,194103,5484,2021,ladakh,Q1
150,null,194107,5026,2021,ladakh,Q1
151,null,194401,4631,2021,ladakh,Q1
152,null,194102,3256,2021,ladakh,Q1
153,null,194105,2886,2021,ladakh,Q1
154,null,194106,1933,2021,ladakh,Q1
155,null,194109,1854,2021,ladakh,Q1
156,leh ladakh,0,57971,2021,ladakh,Q2
157,kargil,0,17077,2021,ladakh,Q2
158,null,194104,16585,2021,ladakh,Q2
159,null,194101,14606,2021,ladakh,Q2
160,null,194201,11446,2021,ladakh,Q2
161,null,194103,5935,2021,ladakh,Q2
162,null,194107,5397,2021,ladakh,Q2
163,null,194401,4964,2021,ladakh,Q2
164,null,194102,3499,2021,ladakh,Q2
165,null,194105,3111,2021,ladakh,Q2
166,null,194106,2070,2021,ladakh,Q2
167,null,194109,1998,2021,ladakh,Q2
168,leh ladakh,0,62633,2021,ladakh,Q3
169,kargil,0,18577,2021,ladakh,Q3
170,null,194104,17813,2021,ladakh,Q3
171,null,194101,15772,2021,ladakh,Q3
172,null,194201,12397,2021,ladakh,Q3
173,null,194103,6415,2021,ladakh,Q3
174,null,194107,5819,2021,ladakh,Q3
175,null,194401,5438,2021,ladakh,Q3
176,null,194102,3811,2021,ladakh,Q3
177,null,194105,3389,2021,ladakh,Q3
178,null,194106,2243,2021,ladakh,Q3
179,null,194109,2193,2021,ladakh,Q3
180,leh ladakh,0,67049,2021,ladakh,Q4
181,kargil,0,20008,2021,ladakh,Q4
182,null,194104,19007,2021,ladakh,Q4
183,null,194101,16834,2021,ladakh,Q4
184,null,194201,13309,2021,ladakh,Q4
185,null,194103,6889,2021,ladakh,Q4
186,null,194107,6240,2021,ladakh,Q4
