,District,Pincode,No of Registered User,Year,state,Quater
1453,null,382350,32292,2018,gujarat,Q1
1454,null,394210,31969,2018,gujarat,Q1
1455,null,395003,30787,2018,gujarat,Q1
1456,null,382481,25321,2018,gujarat,Q1
1457,null,395009,23628,2018,gujarat,Q1
1458,null,396191,22824,2018,gujarat,Q1
1459,null,382415,22742,2018,gujarat,Q1
1460,ahmadabad,0,751746,2018,gujarat,Q2
1461,surat,0,652372,2018,gujarat,Q2
1462,vadodara,0,271730,2018,gujarat,Q2
1463,rajkot,0,174778,2018,gujarat,Q2
1464,gandhinagar,0,155539,2018,gujarat,Q2
1465,bharuch,0,134500,2018,gujarat,Q2
1466,kachchh,0,128064,2018,gujarat,Q2
1467,mahesana,0,127614,2018,gujarat,Q2
1468,banas kantha,0,125849,2018,gujarat,Q2
1469,bhavnagar,0,115812,2018,gujarat,Q2
1470,null,395006,94500,2018,gujarat,Q2
1471,null,395010,60175,2018,gujarat,Q2
1472,null,395004,49139,2018,gujarat,Q2
1473,null,394210,44190,2018,gujarat,Q2
1474,null,382350,41644,2018,gujarat,Q2
1475,null,395003,40881,2018,gujarat,Q2
1476,null,382481,32292,2018,gujarat,Q2
1477,null,396191,30464,2018,gujarat,Q2
1478,null,395009,30378,2018,gujarat,Q2
1479,null,382415,29895,2018,gujarat,Q2
1480,ahmadabad,0,919252,2018,gujarat,Q3
1481,surat,0,808005,2018,gujarat,Q3
1482,vadodara,0,335125,2018,gujarat,Q3
1483,rajkot,0,215459,2018,gujarat,Q3
1484,gandhinagar,0,190882,2018,gujarat,Q3
1485,bharuch,0,169322,2018,gujarat,Q3
1486,banas kantha,0,159591,2018,gujarat,Q3
1487,kachchh,0,158762,2018,gujarat,Q3
1488,mahesana,0,157274,2018,gujarat,Q3
1489,bhavnagar,0,141243,2018,gujarat,Q3
1490,null,395006,113391,2018,gujarat,Q3
1491,null,395010,73560,2018,gujarat,Q3
1492,null,395004,58525,2018,gujarat,Q3
1493,null,394210,56563,2018,gujarat,Q3
1494,null,395003,50366,2018,gujarat,Q3
1495,null,382350,49974,2018,gujarat,Q3
1496,null,396191,38490,2018,gujarat,Q3
1497,null,382481,38313,2018,gujarat,Q3
1498,null,395009,36563,2018,gujarat,Q3
1499,null,382415,36510,2018,gujarat,Q3
1500,ahmadabad,0,1212636,2018,gujarat,Q4
1501,surat,0,998807,2018,gujarat,Q4
1502,vadodara,0,421895,2018,gujarat,Q4
1503,rajkot,0,260602,2018,gujarat,Q4
1504,gandhinagar,0,242368,2018,gujarat,Q4
1505,bharuch,0,211843,2018,gujarat,Q4
1506,banas kantha,0,197774,2018,gujarat,Q4
1507,kachchh,0,195295,2018,gujarat,Q4
1508,mahesana,0,192493,2018,gujarat,Q4
1509,bhavnagar,0,173699,2018,gujarat,Q4
1510,null,395006,135881,2018,gujarat,Q4
1511,null,395010,89595,2018,gujarat,Q4
1512,null,394210,71909,2018,gujarat,Q4
1513,null,395004,69666,2018,gujarat,Q4
1514,null,382350,62863,2018,gujarat,Q4
1515,null,395003,62164,2018,gujarat,Q4
1516,null,382481,50895,2018,gujarat,Q4
1517,null,396191,48467,2018,gujarat,Q4
1518,null,382415,46926,2018,gujarat,Q4
1519,null,395009,44962,2018,gujarat,Q4
1520,ahmadabad,0,1450100,2019,gujarat,Q1
1521,surat,0,1180819,2019,gujarat,Q1
1522,vadodara,0,502520,2019,gujarat,Q1
1523,rajkot,0,304415,2019,gujarat,Q1
1524,gandhinagar,0,291858,2019,gujarat,Q1
1525,bharuch,0,252826,2019,gujarat,Q1
1526,banas kantha,0,239613,2019,gujarat,Q1
1527,kachchh,0,231871,2019,gujarat,Q1
1528,mahesana,0,230403,2019,gujarat,Q1
1529,valsad,0,209477,2019,gujarat,Q1
1530,null,395006,157558,2019,gujarat,Q1
1531,null,395010,104683,2019,gujarat,Q1
1532,null,394210,86656,2019,gujarat,Q1
1533,null,395004,79826,2019,gujarat,Q1
1534,null,382350,74106,2019,gujarat,Q1
1535,null,395003,73240,2019,gujarat,Q1
1536,null,382481,60080,2019,gujarat,Q1
1537,null,396191,58289,2019,gujarat,Q1
1538,null,382415,56346,2019,gujarat,Q1
1539,null,382345,53663,2019,gujarat,Q1
1540,ahmadabad,0,1656341,2019,gujarat,Q2
1541,surat,0,1338584,2019,gujarat,Q2
1542,vadodara,0,572031,2019,gujarat,Q2
1543,rajkot,0,345178,2019,gujarat,Q2
1544,gandhinagar,0,333056,2019,gujarat,Q2
1545,bharuch,0,284296,2019,gujarat,Q2
1546,banas kantha,0,271379,2019,gujarat,Q2
1547,kachchh,0,261458,2019,gujarat,Q2
1548,mahesana,0,259949,2019,gujarat,Q2
1549,valsad,0,238764,2019,gujarat,Q2
1550,null,395006,180042,2019,gujarat,Q2
1551,null,395010,117410,2019,gujarat,Q2
1552,null,394210,99259,2019,gujarat,Q2
1553,null,395004,88490,2019,gujarat,Q2
1554,null,382350,83582,2019,gujarat,Q2
1555,null,395003,82557,2019,gujarat,Q2
1556,null,382481,67372,2019,gujarat,Q2
1557,null,396191,66034,2019,gujarat,Q2
1558,null,382415,64402,2019,gujarat,Q2
1559,null,382345,61531,2019,gujarat,Q2
1560,ahmadabad,0,1848860,2019,gujarat,Q3
1561,surat,0,1481391,2019,gujarat,Q3
1562,vadodara,0,637678,2019,gujarat,Q3
1563,rajkot,0,384852,2019,gujarat,Q3
1564,gandhinagar,0,372464,2019,gujarat,Q3
1565,bharuch,0,315856,2019,gujarat,Q3
1566,banas kantha,0,301373,2019,gujarat,Q3
1567,mahesana,0,286652,2019,gujarat,Q3
1568,kachchh,0,285519,2019,gujarat,Q3
1569,valsad,0,266134,2019,gujarat,Q3
1570,null,395006,198132,2019,gujarat,Q3
1571,null,395010,128538,2019,gujarat,Q3
1572,null,394210,111163,2019,gujarat,Q3
1573,null,395004,95896,2019,gujarat,Q3
1574,null,382350,92274,2019,gujarat,Q3
1575,null,395003,90925,2019,gujarat,Q3
1576,null,382481,73913,2019,gujarat,Q3
1577,null,396191,73506,2019,gujarat,Q3
1578,null,382415,72158,2019,gujarat,Q3
1579,null,382345,68940,2019,gujarat,Q3
1580,ahmadabad,0,2015947,2019,gujarat,Q4
1581,surat,0,1624077,2019,gujarat,Q4
1582,vadodara,0,700817,2019,gujarat,Q4
1583,rajkot,0,426178,2019,gujarat,Q4
1584,gandhinagar,0,408526,2019,gujarat,Q4
1585,bharuch,0,350619,2019,gujarat,Q4
1586,banas kantha,0,339582,2019,gujarat,Q4
1587,mahesana,0,316985,2019,gujarat,Q4
1588,kachchh,0,314732,2019,gujarat,Q4
1589,valsad,0,296977,2019,gujarat,Q4
1590,null,395006,214322,2019,gujarat,Q4
1591,null,395010,138999,2019,gujarat,Q4
1592,null,394210,123670,2019,gujarat,Q4
1593,null,395004,103138,2019,gujarat,Q4
1594,null,382350,99646,2019,gujarat,Q4
1595,null,395003,98804,2019,gujarat,Q4
1596,null,396191,81666,2019,gujarat,Q4
1597,null,382481,79158,2019,gujarat,Q4
1598,null,382415,78997,2019,gujarat,Q4
1599,null,382345,75408,2019,gujarat,Q4
1600,ahmadabad,0,2185983,2020,gujarat,Q1
1601,surat,0,1772703,2020,gujarat,Q1
1602,vadodara,0,763969,2020,gujarat,Q1
1603,rajkot,0,469636,2020,gujarat,Q1
1604,gandhinagar,0,445290,2020,gujarat,Q1
1605,banas kantha,0,386212,2020,gujarat,Q1
1606,bharuch,0,384819,2020,gujarat,Q1
1607,mahesana,0,349897,2020,gujarat,Q1
1608,kachchh,0,347270,2020,gujarat,Q1
1609,valsad,0,330053,2020,gujarat,Q1
1610,null,395006,230047,2020,gujarat,Q1
1611,null,395010,149506,2020,gujarat,Q1
1612,null,394210,137283,2020,gujarat,Q1
1613,null,395004,110684,2020,gujarat,Q1
1614,null,395003,106915,2020,gujarat,Q1
1615,null,382350,106647,2020,gujarat,Q1
1616,null,396191,90365,2020,gujarat,Q1
1617,null,382415,86315,2020,gujarat,Q1
1618,null,382481,84353,2020,gujarat,Q1
1619,null,382345,82048,2020,gujarat,Q1
1620,ahmadabad,0,2384154,2020,gujarat,Q2
1621,surat,0,1935894,2020,gujarat,Q2
1622,vadodara,0,830759,2020,gujarat,Q2
1623,rajkot,0,522650,2020,gujarat,Q2
1624,gandhinagar,0,488351,2020,gujarat,Q2
1625,banas kantha,0,446603,2020,gujarat,Q2
1626,bharuch,0,423017,2020,gujarat,Q2
1627,mahesana,0,389562,2020,gujarat,Q2
1628,kachchh,0,385480,2020,gujarat,Q2
1629,valsad,0,372771,2020,gujarat,Q2
1630,null,395006,245129,2020,gujarat,Q2
1631,null,395010,160784,2020,gujarat,Q2
1632,null,394210,153681,2020,gujarat,Q2
1633,null,395004,119752,2020,gujarat,Q2
1634,null,395003,115539,2020,gujarat,Q2
1635,null,382350,115202,2020,gujarat,Q2
1636,null,396191,100064,2020,gujarat,Q2
1637,null,382415,95250,2020,gujarat,Q2
1638,null,382481,90515,2020,gujarat,Q2
1639,null,382345,90259,2020,gujarat,Q2
1640,ahmadabad,0,2580178,2020,gujarat,Q3
1641,surat,0,2092712,2020,gujarat,Q3
1642,vadodara,0,901492,2020,gujarat,Q3
1643,rajkot,0,573062,2020,gujarat,Q3
1644,gandhinagar,0,529771,2020,gujarat,Q3
1645,banas kantha,0,501471,2020,gujarat,Q3
1646,bharuch,0,462292,2020,gujarat,Q3
1647,mahesana,0,427950,2020,gujarat,Q3
1648,kachchh,0,423729,2020,gujarat,Q3
1649,valsad,0,410740,2020,gujarat,Q3
1650,null,395006,259468,2020,gujarat,Q3
1651,null,395010,173062,2020,gujarat,Q3
1652,null,394210,167802,2020,gujarat,Q3
1653,null,395004,127956,2020,gujarat,Q3
1654,null,395003,124692,2020,gujarat,Q3
1655,null,382350,123709,2020,gujarat,Q3
1656,null,396191,109788,2020,gujarat,Q3
1657,null,382415,103846,2020,gujarat,Q3
1658,null,382345,98070,2020,gujarat,Q3
1659,null,382481,96759,2020,gujarat,Q3
1660,ahmadabad,0,2787991,2020,gujarat,Q4
1661,surat,0,2278232,2020,gujarat,Q4
1662,vadodara,0,980658,2020,gujarat,Q4
1663,rajkot,0,627654,2020,gujarat,Q4
1664,gandhinagar,0,572461,2020,gujarat,Q4
1665,banas kantha,0,551645,2020,gujarat,Q4
1666,bharuch,0,508005,2020,gujarat,Q4
1667,kachchh,0,466855,2020,gujarat,Q4
1668,mahesana,0,464932,2020,gujarat,Q4
1669,valsad,0,452628,2020,gujarat,Q4
1670,null,395006,276969,2020,gujarat,Q4
1671,null,395010,187103,2020,gujarat,Q4
1672,null,394210,184572,2020,gujarat,Q4
1673,null,395004,137335,2020,gujarat,Q4
1674,null,395003,135529,2020,gujarat,Q4
1675,null,382350,133012,2020,gujarat,Q4
1676,null,396191,121067,2020,gujarat,Q4
1677,null,382415,112726,2020,gujarat,Q4
1678,null,382345,105910,2020,gujarat,Q4
1679,null,382481,103359,2020,gujarat,Q4
1680,ahmadabad,0,2999575,2021,gujarat,Q1
1681,surat,0,2458596,2021,gujarat,Q1
1682,vadodara,0,1053954,2021,gujarat,Q1
1683,rajkot,0,677301,2021,gujarat,Q1
1684,gandhinagar,0,615315,2021,gujarat,Q1
1685,banas kantha,0,598384,2021,gujarat,Q1
1686,bharuch,0,548541,2021,gujarat,Q1
1687,kachchh,0,505517,2021,gujarat,Q1
1688,mahesana,0,500511,2021,gujarat,Q1
1689,valsad,0,489062,2021,gujarat,Q1
1690,null,395006,297048,2021,gujarat,Q1
1691,null,395010,201470,2021,gujarat,Q1
1692,null,394210,200058,2021,gujarat,Q1
1693,null,395004,147473,2021,gujarat,Q1
1694,null,395003,145856,2021,gujarat,Q1
1695,null,382350,142849,2021,gujarat,Q1
1696,null,396191,130996,2021,gujarat,Q1
1697,null,382415,121750,2021,gujarat,Q1
1698,null,382345,113956,2021,gujarat,Q1
1699,null,385535,110989,2021,gujarat,Q1
1700,ahmadabad,0,3209841,2021,gujarat,Q2
1701,surat,0,2633443,2021,gujarat,Q2
1702,vadodara,0,1127636,2021,gujarat,Q2
1703,rajkot,0,726817,2021,gujarat,Q2
1704,gandhinagar,0,658428,2021,gujarat,Q2
1705,banas kantha,0,645073,2021,gujarat,Q2
1706,bharuch,0,588777,2021,gujarat,Q2
1707,kachchh,0,543585,2021,gujarat,Q2
1708,mahesana,0,536645,2021,gujarat,Q2
1709,valsad,0,524614,2021,gujarat,Q2
1710,null,395006,317597,2021,gujarat,Q2
1711,null,395010,215717,2021,gujarat,Q2
1712,null,394210,214776,2021,gujarat,Q2
1713,null,395004,157608,2021,gujarat,Q2
1714,null,395003,156006,2021,gujarat,Q2
1715,null,382350,152795,2021,gujarat,Q2
1716,null,396191,140329,2021,gujarat,Q2
1717,null,382415,130437,2021,gujarat,Q2
1718,null,382345,121975,2021,gujarat,Q2
1719,null,385535,119329,2021,gujarat,Q2
1720,ahmadabad,0,3445024,2021,gujarat,Q3
1721,surat,0,2830392,2021,gujarat,Q3
1722,vadodara,0,1210266,2021,gujarat,Q3
1723,rajkot,0,782611,2021,gujarat,Q3
1724,gandhinagar,0,706654,2021,gujarat,Q3
1725,banas kantha,0,698841,2021,gujarat,Q3
1726,bharuch,0,634589,2021,gujarat,Q3
1727,kachchh,0,587589,2021,gujarat,Q3
1728,mahesana,0,578072,2021,gujarat,Q3
1729,valsad,0,565423,2021,gujarat,Q3
1730,null,395006,340436,2021,gujarat,Q3
1731,null,395010,231725,2021,gujarat,Q3
1732,null,394210,231353,2021,gujarat,Q3
1733,null,395004,168968,2021,gujarat,Q3
1734,null,395003,167307,2021,gujarat,Q3
1735,null,382350,163762,2021,gujarat,Q3
1736,null,396191,150868,2021,gujarat,Q3
1737,null,382415,140098,2021,gujarat,Q3
1738,null,382345,130967,2021,gujarat,Q3
1739,null,385535,128886,2021,gujarat,Q3
1740,ahmadabad,0,3679243,2021,gujarat,Q4
1741,surat,0,3026960,2021,gujarat,Q4
1742,vadodara,0,1292097,2021,gujarat,Q4
1743,rajkot,0,837869,2021,gujarat,Q4
1744,gandhinagar,0,754369,2021,gujarat,Q4
1745,banas kantha,0,751116,2021,gujarat,Q4
1746,bharuch,0,679705,2021,gujarat,Q4
1747,kachchh,0,630878,2021,gujarat,Q4
1748,mahesana,0,618376,2021,gujarat,Q4
1749,valsad,0,605655,2021,gujarat,Q4
1750,null,395006,363595,2021,gujarat,Q4
1751,null,394210,247983,2021,gujarat,Q4
1752,null,395010,247597,2021,gujarat,Q4
1753,null,395004,180294,2021,gujarat,Q4
1754,null,395003,178606,2021,gujarat,Q4
1755,null,382350,174821,2021,gujarat,Q4
1756,null,396191,161460,2021,gujarat,Q4
1757,null,382415,149751,2021,gujarat,Q4
1758,null,382345,139819,2021,gujarat,Q4
1759,null,385535,138286,2021,gujarat,Q4
1760,ahmadabad,0,3897869,2022,gujarat,Q1
1761,surat,0,3210535,2022,gujarat,Q1
1762,vadodara,0,1368210,2022,gujarat,Q1
1763,rajkot,0,889499,2022,gujarat,Q1
1764,banas kantha,0,802470,2022,gujarat,Q1
1765,gandhinagar,0,799301,2022,gujarat,Q1
1766,bharuch,0,722367,2022,gujarat,Q1
1767,kachchh,0,671465,2022,gujarat,Q1
1768,mahesana,0,656908,2022,gujarat,Q1
1769,valsad,0,643742,2022,gujarat,Q1
1770,null,395006,385040,2022,gujarat,Q1
1771,null,394210,263596,2022,gujarat,Q1
1772,null,395010,262287,2022,gujarat,Q1
1773,null,395004,190769,2022,gujarat,Q1
1774,null,395003,189101,2022,gujarat,Q1
1775,null,382350,185001,2022,gujarat,Q1
1776,null,396191,171443,2022,gujarat,Q1
1777,null,382415,158818,2022,gujarat,Q1
1778,null,382345,148068,2022,gujarat,Q1
1779,null,385535,147477,2022,gujarat,Q1
1780,ahmadabad,0,4105172,2022,gujarat,Q2
1781,surat,0,3385398,2022,gujarat,Q2
1782,vadodara,0,1440949,2022,gujarat,Q2
1783,rajkot,0,937863,2022,gujarat,Q2
1784,banas kantha,0,849884,2022,gujarat,Q2
1785,gandhinagar,0,841732,2022,gujarat,Q2
1786,bharuch,0,762752,2022,gujarat,Q2
1787,kachchh,0,709339,2022,gujarat,Q2
1788,mahesana,0,692794,2022,gujarat,Q2
1789,valsad,0,679340,2022,gujarat,Q2
1790,null,395006,405477,2022,gujarat,Q2
1791,null,394210,278453,2022,gujarat,Q2
1792,null,395010,276339,2022,gujarat,Q2
1793,null,395004,200828,2022,gujarat,Q2
1794,null,395003,199079,2022,gujarat,Q2
1795,null,382350,194725,2022,gujarat,Q2
1796,null,396191,180851,2022,gujarat,Q2
1797,null,382415,167419,2022,gujarat,Q2
1798,null,385535,156144,2022,gujarat,Q2
1799,null,382345,155908,2022,gujarat,Q2
1800,ahmadabad,0,4319512,2022,gujarat,Q3
1801,surat,0,3567767,2022,gujarat,Q3
1802,vadodara,0,1515556,2022,gujarat,Q3
1803,rajkot,0,986904,2022,gujarat,Q3
1804,banas kantha,0,896869,2022,gujarat,Q3
1805,gandhinagar,0,885535,2022,gujarat,Q3
1806,bharuch,0,803845,2022,gujarat,Q3
1807,kachchh,0,747079,2022,gujarat,Q3
1808,mahesana,0,729723,2022,gujarat,Q3
1809,valsad,0,716467,2022,gujarat,Q3
1810,null,395006,426968,2022,gujarat,Q3
1811,null,394210,294155,2022,gujarat,Q3
1812,null,395010,290935,2022,gujarat,Q3
1813,null,395004,211361,2022,gujarat,Q3
1814,null,395003,209495,2022,gujarat,Q3
1815,null,382350,204832,2022,gujarat,Q3
1816,null,396191,190805,2022,gujarat,Q3
1817,null,382415,176390,2022,gujarat,Q3
1818,null,385535,164910,2022,gujarat,Q3
1819,null,382345,164109,2022,gujarat,Q3
1820,ahmadabad,0,4530853,2022,gujarat,Q4
1821,surat,0,3747780,2022,gujarat,Q4
1822,vadodara,0,1587831,2022,gujarat,Q4
1823,rajkot,0,1033159,2022,gujarat,Q4
1824,banas kantha,0,939693,2022,gujarat,Q4
1825,gandhinagar,0,927585,2022,gujarat,Q4
1826,bharuch,0,842519,2022,gujarat,Q4
1827,kachchh,0,781383,2022,gujarat,Q4
1828,mahesana,0,763693,2022,gujarat,Q4
1829,valsad,0,751767,2022,gujarat,Q4
1830,null,395006,448463,2022,gujarat,Q4
1831,null,394210,309875,2022,gujarat,Q4
1832,null,395010,305674,2022,gujarat,Q4
1833,null,395004,221859,2022,gujarat,Q4
1834,null,395003,219947,2022,gujarat,Q4
1835,null,382350,214911,2022,gujarat,Q4
1836,null,396191,200547,2022,gujarat,Q4
1837,null,382415,185450,2022,gujarat,Q4
1838,null,385535,173196,2022,gujarat,Q4
1839,null,382345,172424,2022,gujarat,Q4
1840,east,0,12749,2018,sikkim,Q1
1841,south,0,3679,2018,sikkim,Q1
1842,west,0,2048,2018,sikkim,Q1
1843,north,0,1575,2018,sikkim,Q1
1844,null,737101,3490,2018,sikkim,Q1
1845,null,737102,2643,2018,sikkim,Q1
1846,null,737132,2313,2018,sikkim,Q1
1847,null,737135,1769,2018,sikkim,Q1
1848,null,737134,1743,2018,sikkim,Q1
1849,null,737126,1175,2018,sikkim,Q1
1850,null,737113,1019,2018,sikkim,Q1
1851,null,737120,994,2018,sikkim,Q1
1852,null,737136,931,2018,sikkim,Q1
1853,null,737103,856,2018,sikkim,Q1
1854,east,0,17767,2018,sikkim,Q2
1855,south,0,5147,2018,sikkim,Q2
1856,west,0,2868,2018,sikkim,Q2
1857,north,0,2315,2018,sikkim,Q2
1858,null,737101,4767,2018,sikkim,Q2
1859,null,737102,3632,2018,sikkim,Q2
1860,null,737132,3280,2018,sikkim,Q2
1861,null,737134,2541,2018,sikkim,Q2
1862,null,737135,2447,2018,sikkim,Q2
1863,null,737126,1652,2018,sikkim,Q2
1864,null,737120,1495,2018,sikkim,Q2
1865,null,737113,1414,2018,sikkim,Q2
1866,null,737136,1257,2018,sikkim,Q2
1867,null,737103,1181,2018,sikkim,Q2
1868,east,0,23460,2018,sikkim,Q3
1869,south,0,6943,2018,sikkim,Q3
1870,west,0,4042,2018,sikkim,Q3
1871,north,0,3192,2018,sikkim,Q3
1872,null,737101,6302,2018,sikkim,Q3
1873,null,737102,4818,2018,sikkim,Q3
1874,null,737132,4053,2018,sikkim,Q3
1875,null,737134,3387,2018,sikkim,Q3
1876,null,737135,3199,2018,sikkim,Q3
1877,null,737126,2325,2018,sikkim,Q3
1878,null,737120,2052,2018,sikkim,Q3
1879,null,737113,1970,2018,sikkim,Q3
1880,null,737103,1626,2018,sikkim,Q3
1881,null,737136,1612,2018,sikkim,Q3
1882,east,0,29948,2018,sikkim,Q4
1883,south,0,8992,2018,sikkim,Q4
1884,west,0,5328,2018,sikkim,Q4
1885,north,0,4270,2018,sikkim,Q4
1886,null,737101,8184,2018,sikkim,Q4
1887,null,737102,6096,2018,sikkim,Q4
1888,null,737132,4951,2018,sikkim,Q4
1889,null,737134,4401,2018,sikkim,Q4
1890,null,737135,4040,2018,sikkim,Q4
1891,null,737126,3058,2018,sikkim,Q4
1892,null,737120,2748,2018,sikkim,Q4
1893,null,737113,2604,2018,sikkim,Q4
1894,null,737103,2161,2018,sikkim,Q4
1895,null,737136,1980,2018,sikkim,Q4
1896,east,0,36124,2019,sikkim,Q1
1897,south,0,11031,2019,sikkim,Q1
1898,west,0,6479,2019,sikkim,Q1
1899,north,0,5322,2019,sikkim,Q1
1900,null,737101,9811,2019,sikkim,Q1
1901,null,737102,7390,2019,sikkim,Q1
1902,null,737132,5823,2019,sikkim,Q1
1903,null,737134,5484,2019,sikkim,Q1
1904,null,737135,4863,2019,sikkim,Q1
1905,null,737126,3693,2019,sikkim,Q1
1906,null,737120,3393,2019,sikkim,Q1
1907,null,737113,3139,2019,sikkim,Q1
1908,null,737103,2669,2019,sikkim,Q1
1909,null,737136,2338,2019,sikkim,Q1
1910,east,0,43048,2019,sikkim,Q2
1911,south,0,13547,2019,sikkim,Q2
1912,west,0,8064,2019,sikkim,Q2
1913,north,0,6340,2019,sikkim,Q2
1914,null,737101,11751,2019,sikkim,Q2
1915,null,737102,8730,2019,sikkim,Q2
1916,null,737132,6732,2019,sikkim,Q2
1917,null,737134,6641,2019,sikkim,Q2
1918,null,737135,5696,2019,sikkim,Q2
1919,null,737126,4655,2019,sikkim,Q2
1920,null,737120,3941,2019,sikkim,Q2
1921,null,737113,3858,2019,sikkim,Q2
1922,null,737103,3239,2019,sikkim,Q2
1923,null,737121,2827,2019,sikkim,Q2
1924,east,0,49404,2019,sikkim,Q3
1925,south,0,16016,2019,sikkim,Q3
1926,west,0,9481,2019,sikkim,Q3
1927,north,0,7227,2019,sikkim,Q3
1928,null,737101,13584,2019,sikkim,Q3
1929,null,737102,9884,2019,sikkim,Q3
1930,null,737134,7809,2019,sikkim,Q3
1931,null,737132,7615,2019,sikkim,Q3
1932,null,737135,6481,2019,sikkim,Q3
1933,null,737126,5557,2019,sikkim,Q3
1934,null,737113,4526,2019,sikkim,Q3
1935,null,737120,4413,2019,sikkim,Q3
1936,null,737103,3643,2019,sikkim,Q3
1937,null,737121,3356,2019,sikkim,Q3
1938,east,0,55340,2019,sikkim,Q4
1939,south,0,18461,2019,sikkim,Q4
1940,west,0,11078,2019,sikkim,Q4
1941,north,0,8093,2019,sikkim,Q4
1942,null,737101,15223,2019,sikkim,Q4
1943,null,737102,11002,2019,sikkim,Q4
1944,null,737134,8964,2019,sikkim,Q4
1945,null,737132,8456,2019,sikkim,Q4
1946,null,737135,7240,2019,sikkim,Q4
1947,null,737126,6464,2019,sikkim,Q4
1948,null,737113,5181,2019,sikkim,Q4
1949,null,737120,4869,2019,sikkim,Q4
1950,null,737103,3999,2019,sikkim,Q4
1951,null,737121,3995,2019,sikkim,Q4
1952,east,0,61820,2020,sikkim,Q1
1953,south,0,21043,2020,sikkim,Q1
1954,west,0,12746,2020,sikkim,Q1
1955,north,0,9022,2020,sikkim,Q1
1956,null,737101,17139,2020,sikkim,Q1
1957,null,737102,12201,2020,sikkim,Q1
1958,null,737134,10222,2020,sikkim,Q1
1959,null,737132,9292,2020,sikkim,Q1
1960,null,737135,8051,2020,sikkim,Q1
1961,null,737126,7462,2020,sikkim,Q1
1962,null,737113,5869,2020,sikkim,Q1
1963,null,737120,5305,2020,sikkim,Q1
1964,null,737121,4720,2020,sikkim,Q1
1965,null,737103,4434,2020,sikkim,Q1
1966,east,0,69829,2020,sikkim,Q2
1967,south,0,24768,2020,sikkim,Q2
1968,west,0,15082,2020,sikkim,Q2
1969,north,0,10242,2020,sikkim,Q2
1970,null,737101,19227,2020,sikkim,Q2
1971,null,737102,13610,2020,sikkim,Q2
1972,null,737134,11915,2020,sikkim,Q2
1973,null,737132,10447,2020,sikkim,Q2
1974,null,737135,9160,2020,sikkim,Q2
1975,null,737126,8958,2020,sikkim,Q2
1976,null,737113,6822,2020,sikkim,Q2
1977,null,737120,5833,2020,sikkim,Q2
1978,null,737121,5749,2020,sikkim,Q2
1979,null,737103,4938,2020,sikkim,Q2
1980,east,0,78018,2020,sikkim,Q3
1981,south,0,28038,2020,sikkim,Q3
1982,west,0,17400,2020,sikkim,Q3
1983,north,0,11317,2020,sikkim,Q3
1984,null,737101,21525,2020,sikkim,Q3
1985,null,737102,15094,2020,sikkim,Q3
1986,null,737134,13624,2020,sikkim,Q3
1987,null,737132,11586,2020,sikkim,Q3
1988,null,737135,10222,2020,sikkim,Q3
1989,null,737126,10158,2020,sikkim,Q3
1990,null,737113,7782,2020,sikkim,Q3
1991,null,737121,6733,2020,sikkim,Q3
1992,null,737120,6342,2020,sikkim,Q3
1993,null,737103,5456,2020,sikkim,Q3
1994,east,0,85770,2020,sikkim,Q4
1995,south,0,31055,2020,sikkim,Q4
1996,west,0,19217,2020,sikkim,Q4
1997,north,0,12501,2020,sikkim,Q4
1998,null,737101,23744,2020,sikkim,Q4
1999,null,737102,16577,2020,sikkim,Q4
2000,null,737134,15077,2020,sikkim,Q4
2001,null,737132,12638,2020,sikkim,Q4
2002,null,737126,11350,2020,sikkim,Q4
2003,null,737135,11169,2020,sikkim,Q4
2004,null,737113,8583,2020,sikkim,Q4
2005,null,737121,7474,2020,sikkim,Q4
2006,null,737120,6926,2020,sikkim,Q4
2007,null,737103,5977,2020,sikkim,Q4
2008,east,0,92502,2021,sikkim,Q1
2009,south,0,33490,2021,sikkim,Q1
2010,west,0,20769,2021,sikkim,Q1
2011,north,0,13452,2021,sikkim,Q1
2012,null,737101,25663,2021,sikkim,Q1
2013,null,737102,17843,2021,sikkim,Q1
2014,null,737134,16236,2021,sikkim,Q1
2015,null,737132,13649,2021,sikkim,Q1
2016,null,737126,12273,2021,sikkim,Q1
2017,null,737135,12017,2021,sikkim,Q1
2018,null,737113,9258,2021,sikkim,Q1
2019,null,737121,8095,2021,sikkim,Q1
2020,null,737120,7423,2021,sikkim,Q1
2021,null,737103,6443,2021,sikkim,Q1
2022,east,0,99077,2021,sikkim,Q2
2023,south,0,35900,2021,sikkim,Q2
2024,west,0,22352,2021,sikkim,Q2
2025,north,0,14411,2021,sikkim,Q2
2026,null,737101,27441,2021,sikkim,Q2
2027,null,737102,19098,2021,sikkim,Q2
2028,null,737134,17409,2021,sikkim,Q2
2029,null,737132,14618,2021,sikkim,Q2
2030,null,737126,13159,2021,sikkim,Q2
2031,null,737135,12879,2021,sikkim,Q2
2032,null,737113,9970,2021,sikkim,Q2
2033,null,737121,8689,2021,sikkim,Q2
2034,null,737120,7948,2021,sikkim,Q2
2035,null,737103,6915,2021,sikkim,Q2
2036,east,0,106352,2021,sikkim,Q3
2037,south,0,38616,2021,sikkim,Q3
2038,west,0,24132,2021,sikkim,Q3
2039,north,0,15593,2021,sikkim,Q3
2040,null,737101,29396,2021,sikkim,Q3
2041,null,737102,20468,2021,sikkim,Q3
2042,null,737134,18740,2021,sikkim,Q3
