,Data From,Data To,Name,Type,Count,Amount,Year
74,1617215400000,1624818600000,Others,TOTAL,9061732,5598131364.820071,2021
75,1625077800000,1632767400000,Merchant payments,TOTAL,2316924871,1426965558783.5557,2021
76,1625077800000,1632767400000,Peer-to-peer payments,TOTAL,2215575286,7429357587018.912,2021
77,1625077800000,1632767400000,Recharge & bill payments,TOTAL,714583744,349234592690.4992,2021
78,1625077800000,1632767400000,Financial Services,TOTAL,3112160,4043342762.3300233,2021
79,1625077800000,1632767400000,Others,TOTAL,13558464,7146868847.2897215,2021
80,1633026600000,1640629800000,Merchant payments,TOTAL,3152394530,1995855822160.6426,2021
81,1633026600000,1640629800000,Peer-to-peer payments,TOTAL,2716561423,9203910371491.78,2021
82,1633026600000,1640629800000,Recharge & bill payments,TOTAL,738096162,407266894783.10693,2021
83,1633026600000,1640629800000,Financial Services,TOTAL,4141629,5028434834.240034,2021
84,1633026600000,1640629800000,Others,TOTAL,14562602,9296993478.869577,2021
85,1640975400000,1648405800000,Merchant payments,TOTAL,3748851071,2272818129376.5205,2022
86,1640975400000,1648405800000,Peer-to-peer payments,TOTAL,3074250150,10505936803336.926,2022
87,1640975400000,1648405800000,Recharge & bill payments,TOTAL,749674246,447599848131.41187,2022
88,1640975400000,1648405800000,Financial Services,TOTAL,4035100,4921211866.489969,2022
89,1640975400000,1648405800000,Others,TOTAL,16393502,8422766458.459174,2022
90,1648751400000,1656354600000,Merchant payments,TOTAL,4765203787,2847096877386.341,2022
91,1648751400000,1656354600000,Peer-to-peer payments,TOTAL,3506141323,12123524700463.535,2022
92,1648751400000,1656354600000,Recharge & bill payments,TOTAL,845751926,523046092987.93964,2022
93,1648751400000,1656354600000,Financial Services,TOTAL,3272822,3889787479.819907,2022
94,1648751400000,1656354600000,Others,TOTAL,11241480,6711034131.16017,2022
95,1656613800000,1664303400000,Merchant payments,TOTAL,5618132071,3151614767860.314,2022
96,1656613800000,1664303400000,Peer-to-peer payments,TOTAL,3957113406,12837803371386.29,2022
97,1656613800000,1664303400000,Recharge & bill payments,TOTAL,956164949,607048699730.3645,2022
98,1656613800000,1664303400000,Financial Services,TOTAL,3959631,4514223164.469998,2022
99,1656613800000,1664303400000,Others,TOTAL,10005043,6725900102.770244,2022
100,1664562600000,1672165800000,Merchant payments,TOTAL,6565690145,3673601044800.037,2022
101,1664562600000,1672165800000,Peer-to-peer payments,TOTAL,4459859921,14578874324207.227,2022
102,1664562600000,1672165800000,Recharge & bill payments,TOTAL,991049281,649776847580.25,2022
103,1664562600000,1672165800000,Financial Services,TOTAL,4623387,5360528394.309982,2022
104,1664562600000,1672165800000,Others,TOTAL,10013085,7361492606.590162,2022
