,District,Type,Count,Amount,Year,state,Quater
3296,east kameng district,TOTAL,2688,9107597.731491327,2019,arunachal-pradesh,Q1
3297,lohit district,TOTAL,15896,42834776.778045304,2019,arunachal-pradesh,Q1
3298,lepa rada district,TOTAL,1523,4054526.308789035,2019,arunachal-pradesh,Q1
3299,tawang district,TOTAL,13102,39489779.13784294,2019,arunachal-pradesh,Q1
3300,namsai district,TOTAL,8600,20065516.616355177,2019,arunachal-pradesh,Q1
3301,lower dibang valley district,TOTAL,5819,13737167.7479776,2019,arunachal-pradesh,Q2
3302,lower subansiri district,TOTAL,5579,14746949.652010633,2019,arunachal-pradesh,Q2
3303,longding district,TOTAL,6744,23464027.892812617,2019,arunachal-pradesh,Q2
3304,west siang district,TOTAL,8041,24549832.977181494,2019,arunachal-pradesh,Q2
3305,kamle district,TOTAL,414,1136776.6962042823,2019,arunachal-pradesh,Q2
3306,upper siang district,TOTAL,1079,3993676.3296563537,2019,arunachal-pradesh,Q2
3307,tirap district,TOTAL,6868,18633793.43372325,2019,arunachal-pradesh,Q2
3308,papum pare district,TOTAL,86433,246640891.34861866,2019,arunachal-pradesh,Q2
3309,kurung kumey district,TOTAL,1427,4036511.9338615797,2019,arunachal-pradesh,Q2
3310,anjaw district,TOTAL,2473,5220589.920801567,2019,arunachal-pradesh,Q2
3311,siang district,TOTAL,1654,5373179.351887872,2019,arunachal-pradesh,Q2
3312,lower siang district,TOTAL,3791,7075961.239041175,2019,arunachal-pradesh,Q2
3313,kra daadi district,TOTAL,1447,4315353.218765283,2019,arunachal-pradesh,Q2
3314,changlang district,TOTAL,18631,48891048.26477764,2019,arunachal-pradesh,Q2
3315,pakke kessang district,TOTAL,687,1750138.0587616218,2019,arunachal-pradesh,Q2
3316,dibang valley district,TOTAL,98,214966.6162180208,2019,arunachal-pradesh,Q2
3317,west kameng district,TOTAL,37430,122521180.75595039,2019,arunachal-pradesh,Q2
3318,shi yomi district,TOTAL,13,65209.39364354455,2019,arunachal-pradesh,Q2
3319,east siang district,TOTAL,16494,46549881.23941852,2019,arunachal-pradesh,Q2
3320,upper subansiri district,TOTAL,4827,18395806.566284098,2019,arunachal-pradesh,Q2
3321,east kameng district,TOTAL,2309,8996397.735290494,2019,arunachal-pradesh,Q2
3322,lohit district,TOTAL,18693,48893746.831022196,2019,arunachal-pradesh,Q2
3323,lepa rada district,TOTAL,2108,5045595.906781289,2019,arunachal-pradesh,Q2
3324,tawang district,TOTAL,15960,55915834.5871187,2019,arunachal-pradesh,Q2
3325,namsai district,TOTAL,9637,22491356.65721929,2019,arunachal-pradesh,Q2
3326,lower dibang valley district,TOTAL,8405,15177864.63915902,2019,arunachal-pradesh,Q3
3327,lower subansiri district,TOTAL,8828,21059967.49943525,2019,arunachal-pradesh,Q3
3328,longding district,TOTAL,10269,26620415.01923828,2019,arunachal-pradesh,Q3
3329,west siang district,TOTAL,11889,30014806.816802975,2019,arunachal-pradesh,Q3
3330,kamle district,TOTAL,677,968784.5134103607,2019,arunachal-pradesh,Q3
3331,upper siang district,TOTAL,1419,3927440.4417752204,2019,arunachal-pradesh,Q3
3332,tirap district,TOTAL,11249,21737827.19336869,2019,arunachal-pradesh,Q3
3333,papum pare district,TOTAL,117940,301518075.7016427,2019,arunachal-pradesh,Q3
3334,kurung kumey district,TOTAL,1579,3674797.099413435,2019,arunachal-pradesh,Q3
3335,anjaw district,TOTAL,4230,9665384.074972186,2019,arunachal-pradesh,Q3
3336,siang district,TOTAL,2640,6888800.898705382,2019,arunachal-pradesh,Q3
3337,lower siang district,TOTAL,5348,9507511.569068512,2019,arunachal-pradesh,Q3
3338,kra daadi district,TOTAL,2187,5520848.186492377,2019,arunachal-pradesh,Q3
3339,changlang district,TOTAL,29218,58354823.443366826,2019,arunachal-pradesh,Q3
3340,pakke kessang district,TOTAL,977,2145842.2925678995,2019,arunachal-pradesh,Q3
3341,dibang valley district,TOTAL,202,675909.9962923382,2019,arunachal-pradesh,Q3
3342,west kameng district,TOTAL,53939,147186019.8759076,2019,arunachal-pradesh,Q3
3343,shi yomi district,TOTAL,27,30367.754712275342,2019,arunachal-pradesh,Q3
3344,east siang district,TOTAL,22611,58040119.9573143,2019,arunachal-pradesh,Q3
3345,upper subansiri district,TOTAL,7803,22099628.49449406,2019,arunachal-pradesh,Q3
3346,east kameng district,TOTAL,3814,10631335.871797245,2019,arunachal-pradesh,Q3
3347,lohit district,TOTAL,24505,54539458.21434432,2019,arunachal-pradesh,Q3
3348,lepa rada district,TOTAL,2928,4930337.942058578,2019,arunachal-pradesh,Q3
3349,tawang district,TOTAL,24097,72221026.28393415,2019,arunachal-pradesh,Q3
3350,namsai district,TOTAL,13453,25507641.015596062,2019,arunachal-pradesh,Q3
3351,lower dibang valley district,TOTAL,10376,21103089.24170351,2019,arunachal-pradesh,Q4
3352,lower subansiri district,TOTAL,11806,29634357.486805215,2019,arunachal-pradesh,Q4
3353,longding district,TOTAL,11018,29245021.393976457,2019,arunachal-pradesh,Q4
3354,west siang district,TOTAL,14581,39460255.46641725,2019,arunachal-pradesh,Q4
3355,kamle district,TOTAL,999,1620922.3277442688,2019,arunachal-pradesh,Q4
3356,upper siang district,TOTAL,4165,12739585.638734035,2019,arunachal-pradesh,Q4
3357,tirap district,TOTAL,16459,38467790.7269052,2019,arunachal-pradesh,Q4
3358,papum pare district,TOTAL,143272,378838002.3434037,2019,arunachal-pradesh,Q4
3359,kurung kumey district,TOTAL,1343,4526789.748638094,2019,arunachal-pradesh,Q4
3360,anjaw district,TOTAL,5417,11887950.534618177,2019,arunachal-pradesh,Q4
3361,siang district,TOTAL,4756,8833695.424992222,2019,arunachal-pradesh,Q4
3362,lower siang district,TOTAL,6628,11985865.259161524,2019,arunachal-pradesh,Q4
3363,kra daadi district,TOTAL,2830,7804936.327522229,2019,arunachal-pradesh,Q4
3364,changlang district,TOTAL,33963,71874990.9639822,2019,arunachal-pradesh,Q4
3365,pakke kessang district,TOTAL,1194,2287739.0120923957,2019,arunachal-pradesh,Q4
3366,dibang valley district,TOTAL,267,1240493.0270471391,2019,arunachal-pradesh,Q4
3367,west kameng district,TOTAL,66740,198205637.50055438,2019,arunachal-pradesh,Q4
3368,shi yomi district,TOTAL,232,170772.72677991798,2019,arunachal-pradesh,Q4
3369,east siang district,TOTAL,26605,72075285.44344108,2019,arunachal-pradesh,Q4
3370,upper subansiri district,TOTAL,9285,28319761.873849634,2019,arunachal-pradesh,Q4
3371,east kameng district,TOTAL,5646,19408662.74847077,2019,arunachal-pradesh,Q4
3372,lohit district,TOTAL,29281,67502324.59236205,2019,arunachal-pradesh,Q4
3373,lepa rada district,TOTAL,4245,8888753.875914622,2019,arunachal-pradesh,Q4
3374,tawang district,TOTAL,30077,91949243.6071119,2019,arunachal-pradesh,Q4
3375,namsai district,TOTAL,18290,32501252.235055383,2019,arunachal-pradesh,Q4
3376,lower dibang valley district,TOTAL,14400,29552510.9414332,2020,arunachal-pradesh,Q1
3377,lower subansiri district,TOTAL,15770,34273250.7179902,2020,arunachal-pradesh,Q1
3378,longding district,TOTAL,13240,35267439.983279385,2020,arunachal-pradesh,Q1
3379,west siang district,TOTAL,19728,47929440.73153875,2020,arunachal-pradesh,Q1
3380,kamle district,TOTAL,1434,3418975.8263023924,2020,arunachal-pradesh,Q1
3381,upper siang district,TOTAL,7055,17820679.64619372,2020,arunachal-pradesh,Q1
3382,tirap district,TOTAL,18369,40877851.79372531,2020,arunachal-pradesh,Q1
3383,papum pare district,TOTAL,180373,457430754.1595316,2020,arunachal-pradesh,Q1
3384,kurung kumey district,TOTAL,2294,5942677.061635139,2020,arunachal-pradesh,Q1
3385,anjaw district,TOTAL,5025,12808735.858744403,2020,arunachal-pradesh,Q1
3386,siang district,TOTAL,5136,11962344.13711079,2020,arunachal-pradesh,Q1
3387,lower siang district,TOTAL,8047,15520255.403975137,2020,arunachal-pradesh,Q1
3388,kra daadi district,TOTAL,3407,10045462.795181293,2020,arunachal-pradesh,Q1
3389,changlang district,TOTAL,43858,93461363.58699805,2020,arunachal-pradesh,Q1
3390,pakke kessang district,TOTAL,2044,3425821.315796173,2020,arunachal-pradesh,Q1
3391,dibang valley district,TOTAL,397,878784.5955219769,2020,arunachal-pradesh,Q1
3392,west kameng district,TOTAL,75363,198712422.2374845,2020,arunachal-pradesh,Q1
3393,shi yomi district,TOTAL,117,566189.9936512378,2020,arunachal-pradesh,Q1
3394,east siang district,TOTAL,33743,82011539.42531273,2020,arunachal-pradesh,Q1
3395,upper subansiri district,TOTAL,12313,33686711.81345673,2020,arunachal-pradesh,Q1
3396,east kameng district,TOTAL,7379,20456070.89377439,2020,arunachal-pradesh,Q1
3397,lohit district,TOTAL,36985,83701268.27182505,2020,arunachal-pradesh,Q1
3398,lepa rada district,TOTAL,5721,11137993.767266009,2020,arunachal-pradesh,Q1
3399,tawang district,TOTAL,31865,84425193.41571434,2020,arunachal-pradesh,Q1
3400,namsai district,TOTAL,23112,46444942.9567038,2020,arunachal-pradesh,Q1
3401,lower dibang valley district,TOTAL,26234,42360072.526896134,2020,arunachal-pradesh,Q2
3402,lower subansiri district,TOTAL,25703,46133123.517396785,2020,arunachal-pradesh,Q2
3403,longding district,TOTAL,20664,54678022.50234371,2020,arunachal-pradesh,Q2
3404,west siang district,TOTAL,32777,72790231.05472675,2020,arunachal-pradesh,Q2
3405,kamle district,TOTAL,2397,4126243.0778709752,2020,arunachal-pradesh,Q2
3406,upper siang district,TOTAL,10899,28048492.10512026,2020,arunachal-pradesh,Q2
3407,tirap district,TOTAL,28830,63497030.840810165,2020,arunachal-pradesh,Q2
3408,papum pare district,TOTAL,221728,535085907.34048563,2020,arunachal-pradesh,Q2
3409,kurung kumey district,TOTAL,3847,11359743.457053192,2020,arunachal-pradesh,Q2
3410,anjaw district,TOTAL,7617,18795023.531477228,2020,arunachal-pradesh,Q2
3411,siang district,TOTAL,9827,18585670.46796793,2020,arunachal-pradesh,Q2
3412,lower siang district,TOTAL,13321,23571085.32253689,2020,arunachal-pradesh,Q2
3413,kra daadi district,TOTAL,5264,15730996.227462547,2020,arunachal-pradesh,Q2
3414,changlang district,TOTAL,69279,128572447.99797386,2020,arunachal-pradesh,Q2
3415,pakke kessang district,TOTAL,3558,4635272.064395212,2020,arunachal-pradesh,Q2
3416,dibang valley district,TOTAL,966,2559724.8369189673,2020,arunachal-pradesh,Q2
3417,west kameng district,TOTAL,95421,251395972.22505817,2020,arunachal-pradesh,Q2
3418,shi yomi district,TOTAL,302,1222863.4358782358,2020,arunachal-pradesh,Q2
3419,east siang district,TOTAL,55680,112693868.8099896,2020,arunachal-pradesh,Q2
3420,upper subansiri district,TOTAL,18056,43140688.970285244,2020,arunachal-pradesh,Q2
3421,east kameng district,TOTAL,11791,40506284.272980645,2020,arunachal-pradesh,Q2
3422,lohit district,TOTAL,56541,114730675.47714493,2020,arunachal-pradesh,Q2
3423,lepa rada district,TOTAL,8601,16064862.366431037,2020,arunachal-pradesh,Q2
3424,tawang district,TOTAL,44499,121561732.24171817,2020,arunachal-pradesh,Q2
3425,namsai district,TOTAL,34972,54870798.31404532,2020,arunachal-pradesh,Q2
3426,lower dibang valley district,TOTAL,27655,63469161.328603886,2020,arunachal-pradesh,Q3
3427,lower subansiri district,TOTAL,26596,59707234.22223007,2020,arunachal-pradesh,Q3
3428,longding district,TOTAL,21445,63273209.984560445,2020,arunachal-pradesh,Q3
3429,west siang district,TOTAL,34295,92449732.96070345,2020,arunachal-pradesh,Q3
3430,kamle district,TOTAL,2618,5300885.9328534985,2020,arunachal-pradesh,Q3
3431,upper siang district,TOTAL,12707,40210852.98915006,2020,arunachal-pradesh,Q3
3432,tirap district,TOTAL,30046,81539831.5295825,2020,arunachal-pradesh,Q3
3433,papum pare district,TOTAL,298350,859373863.7202578,2020,arunachal-pradesh,Q3
3434,kurung kumey district,TOTAL,4391,13864822.733226534,2020,arunachal-pradesh,Q3
3435,anjaw district,TOTAL,9751,31524690.460289024,2020,arunachal-pradesh,Q3
3436,siang district,TOTAL,10489,21236201.531454768,2020,arunachal-pradesh,Q3
3437,lower siang district,TOTAL,12456,28754627.349573277,2020,arunachal-pradesh,Q3
3438,kra daadi district,TOTAL,5676,16181045.612635879,2020,arunachal-pradesh,Q3
3439,changlang district,TOTAL,73842,159158438.92541084,2020,arunachal-pradesh,Q3
3440,pakke kessang district,TOTAL,3469,6301715.335375749,2020,arunachal-pradesh,Q3
3441,dibang valley district,TOTAL,899,3061207.2925078664,2020,arunachal-pradesh,Q3
3442,west kameng district,TOTAL,111029,332812237.8096209,2020,arunachal-pradesh,Q3
3443,shi yomi district,TOTAL,521,3410288.130911609,2020,arunachal-pradesh,Q3
3444,east siang district,TOTAL,69710,176323789.94437826,2020,arunachal-pradesh,Q3
3445,upper subansiri district,TOTAL,24387,70811197.57521853,2020,arunachal-pradesh,Q3
3446,east kameng district,TOTAL,13421,43881134.37096395,2020,arunachal-pradesh,Q3
3447,lohit district,TOTAL,65889,156523653.1864311,2020,arunachal-pradesh,Q3
3448,lepa rada district,TOTAL,10150,22146313.373236045,2020,arunachal-pradesh,Q3
3449,tawang district,TOTAL,56016,182137862.72423625,2020,arunachal-pradesh,Q3
3450,namsai district,TOTAL,37019,76484566.53480485,2020,arunachal-pradesh,Q3
3451,lower dibang valley district,TOTAL,33455,81929299.56817816,2020,arunachal-pradesh,Q4
3452,lower subansiri district,TOTAL,31411,97681186.89595497,2020,arunachal-pradesh,Q4
3453,longding district,TOTAL,26089,74890543.91561158,2020,arunachal-pradesh,Q4
3454,west siang district,TOTAL,45207,125118193.0493962,2020,arunachal-pradesh,Q4
3455,kamle district,TOTAL,3611,10000596.409396999,2020,arunachal-pradesh,Q4
3456,upper siang district,TOTAL,19943,78146755.88828371,2020,arunachal-pradesh,Q4
3457,tirap district,TOTAL,36124,104709589.6601958,2020,arunachal-pradesh,Q4
3458,papum pare district,TOTAL,390528,1205917753.7046227,2020,arunachal-pradesh,Q4
3459,kurung kumey district,TOTAL,4581,17134470.4444281,2020,arunachal-pradesh,Q4
3460,anjaw district,TOTAL,17228,49318880.51759694,2020,arunachal-pradesh,Q4
3461,siang district,TOTAL,12962,32619173.238261122,2020,arunachal-pradesh,Q4
3462,lower siang district,TOTAL,14782,33891568.64514145,2020,arunachal-pradesh,Q4
3463,kra daadi district,TOTAL,7619,30458774.811469436,2020,arunachal-pradesh,Q4
3464,changlang district,TOTAL,84852,204367875.07299304,2020,arunachal-pradesh,Q4
3465,pakke kessang district,TOTAL,3064,7503555.503947843,2020,arunachal-pradesh,Q4
3466,dibang valley district,TOTAL,1705,6749773.196253154,2020,arunachal-pradesh,Q4
3467,west kameng district,TOTAL,129575,390436113.7366377,2020,arunachal-pradesh,Q4
3468,shi yomi district,TOTAL,1103,6627025.636333689,2020,arunachal-pradesh,Q4
3469,east siang district,TOTAL,88632,250515095.18896666,2020,arunachal-pradesh,Q4
3470,upper subansiri district,TOTAL,31426,109405900.7987589,2020,arunachal-pradesh,Q4
3471,east kameng district,TOTAL,16340,64104581.33887266,2020,arunachal-pradesh,Q4
3472,lohit district,TOTAL,80530,196997836.79933694,2020,arunachal-pradesh,Q4
3473,lepa rada district,TOTAL,14338,39340491.723573,2020,arunachal-pradesh,Q4
3474,tawang district,TOTAL,67262,240482254.58453605,2020,arunachal-pradesh,Q4
3475,namsai district,TOTAL,46762,111916731.51687588,2020,arunachal-pradesh,Q4
3476,lower dibang valley district,TOTAL,32427,90709108.52350861,2021,arunachal-pradesh,Q1
3477,lower subansiri district,TOTAL,29916,106591162.96103427,2021,arunachal-pradesh,Q1
3478,longding district,TOTAL,23962,75573420.97022958,2021,arunachal-pradesh,Q1
3479,west siang district,TOTAL,42575,138700637.29161483,2021,arunachal-pradesh,Q1
3480,kamle district,TOTAL,3092,11023767.702559106,2021,arunachal-pradesh,Q1
3481,upper siang district,TOTAL,21312,73026286.55263102,2021,arunachal-pradesh,Q1
3482,tirap district,TOTAL,32043,110593517.1462319,2021,arunachal-pradesh,Q1
3483,papum pare district,TOTAL,419891,1388723426.7156572,2021,arunachal-pradesh,Q1
3484,kurung kumey district,TOTAL,4962,22483754.80073421,2021,arunachal-pradesh,Q1
3485,anjaw district,TOTAL,12823,38844865.55268997,2021,arunachal-pradesh,Q1
3486,siang district,TOTAL,13679,42644184.41156319,2021,arunachal-pradesh,Q1
3487,lower siang district,TOTAL,13231,37929392.80129131,2021,arunachal-pradesh,Q1
3488,kra daadi district,TOTAL,6393,24326518.988243874,2021,arunachal-pradesh,Q1
3489,changlang district,TOTAL,78849,220167765.51868472,2021,arunachal-pradesh,Q1
3490,pakke kessang district,TOTAL,3563,8146941.7919960935,2021,arunachal-pradesh,Q1
3491,dibang valley district,TOTAL,1930,7949867.973505622,2021,arunachal-pradesh,Q1
3492,west kameng district,TOTAL,120906,384735272.8434415,2021,arunachal-pradesh,Q1
3493,shi yomi district,TOTAL,1251,6905518.17317189,2021,arunachal-pradesh,Q1
3494,east siang district,TOTAL,82357,253988360.79783517,2021,arunachal-pradesh,Q1
3495,upper subansiri district,TOTAL,28053,116973014.48753676,2021,arunachal-pradesh,Q1
3496,east kameng district,TOTAL,16281,77915774.21328105,2021,arunachal-pradesh,Q1
3497,lohit district,TOTAL,72380,198534806.934188,2021,arunachal-pradesh,Q1
3498,lepa rada district,TOTAL,15690,52794992.77695303,2021,arunachal-pradesh,Q1
3499,tawang district,TOTAL,54137,207859088.41115895,2021,arunachal-pradesh,Q1
3500,namsai district,TOTAL,45753,116637630.67690115,2021,arunachal-pradesh,Q1
3501,lower dibang valley district,TOTAL,42091,105552358.12192997,2021,arunachal-pradesh,Q2
3502,lower subansiri district,TOTAL,40081,120717472.89200453,2021,arunachal-pradesh,Q2
3503,longding district,TOTAL,31640,96566640.5347223,2021,arunachal-pradesh,Q2
3504,west siang district,TOTAL,59341,180700138.79997098,2021,arunachal-pradesh,Q2
3505,kamle district,TOTAL,5476,17345427.03524171,2021,arunachal-pradesh,Q2
3506,upper siang district,TOTAL,25971,89455180.0696969,2021,arunachal-pradesh,Q2
3507,tirap district,TOTAL,46320,144548683.3225929,2021,arunachal-pradesh,Q2
3508,papum pare district,TOTAL,552953,1501062555.477559,2021,arunachal-pradesh,Q2
3509,kurung kumey district,TOTAL,6623,27396796.623303153,2021,arunachal-pradesh,Q2
3510,anjaw district,TOTAL,15311,43475744.23676274,2021,arunachal-pradesh,Q2
3511,siang district,TOTAL,17032,52687221.42695154,2021,arunachal-pradesh,Q2
3512,lower siang district,TOTAL,17401,45499278.56988002,2021,arunachal-pradesh,Q2
3513,kra daadi district,TOTAL,8758,35998227.60012327,2021,arunachal-pradesh,Q2
3514,changlang district,TOTAL,105461,264031910.34894213,2021,arunachal-pradesh,Q2
3515,pakke kessang district,TOTAL,4424,13097426.072373278,2021,arunachal-pradesh,Q2
3516,dibang valley district,TOTAL,1995,9465919.622553768,2021,arunachal-pradesh,Q2
3517,west kameng district,TOTAL,164866,482626617.86575466,2021,arunachal-pradesh,Q2
3518,shi yomi district,TOTAL,2135,12166777.18507706,2021,arunachal-pradesh,Q2
3519,east siang district,TOTAL,106787,286839106.4541313,2021,arunachal-pradesh,Q2
3520,upper subansiri district,TOTAL,35856,131912938.7628825,2021,arunachal-pradesh,Q2
3521,east kameng district,TOTAL,22015,95352007.56231916,2021,arunachal-pradesh,Q2
3522,lohit district,TOTAL,99686,230495504.2475701,2021,arunachal-pradesh,Q2
3523,lepa rada district,TOTAL,21273,71336743.85611859,2021,arunachal-pradesh,Q2
3524,tawang district,TOTAL,70061,251025037.95363936,2021,arunachal-pradesh,Q2
3525,namsai district,TOTAL,64781,147069902.3522784,2021,arunachal-pradesh,Q2
3526,lower dibang valley district,TOTAL,50270,133788746.95473914,2021,arunachal-pradesh,Q3
3527,lower subansiri district,TOTAL,46105,142674452.19705147,2021,arunachal-pradesh,Q3
3528,longding district,TOTAL,32638,100698520.96035638,2021,arunachal-pradesh,Q3
3529,west siang district,TOTAL,65763,217065611.3332364,2021,arunachal-pradesh,Q3
3530,kamle district,TOTAL,6064,19140719.47908092,2021,arunachal-pradesh,Q3
3531,upper siang district,TOTAL,27960,114285857.14806488,2021,arunachal-pradesh,Q3
3532,tirap district,TOTAL,47118,143620525.85725695,2021,arunachal-pradesh,Q3
3533,papum pare district,TOTAL,710098,1995999756.3372893,2021,arunachal-pradesh,Q3
3534,kurung kumey district,TOTAL,7417,30935383.383134913,2021,arunachal-pradesh,Q3
3535,anjaw district,TOTAL,22621,69876730.14897071,2021,arunachal-pradesh,Q3
3536,siang district,TOTAL,17241,58453201.45572044,2021,arunachal-pradesh,Q3
3537,lower siang district,TOTAL,19324,46101622.757140934,2021,arunachal-pradesh,Q3
3538,kra daadi district,TOTAL,8974,32167939.60284054,2021,arunachal-pradesh,Q3
3539,changlang district,TOTAL,120126,319705502.42197955,2021,arunachal-pradesh,Q3
3540,pakke kessang district,TOTAL,5061,12416386.841288097,2021,arunachal-pradesh,Q3
3541,dibang valley district,TOTAL,2354,13284361.635290643,2021,arunachal-pradesh,Q3
3542,west kameng district,TOTAL,209165,658232385.7409549,2021,arunachal-pradesh,Q3
3543,shi yomi district,TOTAL,2559,17495021.72242897,2021,arunachal-pradesh,Q3
3544,east siang district,TOTAL,128957,368061706.2429154,2021,arunachal-pradesh,Q3
3545,upper subansiri district,TOTAL,46434,191353412.42695975,2021,arunachal-pradesh,Q3
3546,east kameng district,TOTAL,23739,102442240.26594694,2021,arunachal-pradesh,Q3
3547,lohit district,TOTAL,117879,275160751.4034922,2021,arunachal-pradesh,Q3
3548,lepa rada district,TOTAL,20756,72378628.44705966,2021,arunachal-pradesh,Q3
3549,tawang district,TOTAL,89052,365404078.3528414,2021,arunachal-pradesh,Q3
3550,namsai district,TOTAL,79292,177380632.18278244,2021,arunachal-pradesh,Q3
3551,lower dibang valley district,TOTAL,65302,174980099.83925235,2021,arunachal-pradesh,Q4
3552,lower subansiri district,TOTAL,60146,199366119.13556093,2021,arunachal-pradesh,Q4
3553,longding district,TOTAL,37096,125754642.94209707,2021,arunachal-pradesh,Q4
3554,west siang district,TOTAL,79050,267978346.9418527,2021,arunachal-pradesh,Q4
3555,kamle district,TOTAL,8517,31862943.48592616,2021,arunachal-pradesh,Q4
3556,upper siang district,TOTAL,41167,155266317.84142125,2021,arunachal-pradesh,Q4
3557,tirap district,TOTAL,52675,172835892.68512428,2021,arunachal-pradesh,Q4
3558,papum pare district,TOTAL,919925,2435796597.1781564,2021,arunachal-pradesh,Q4
3559,kurung kumey district,TOTAL,8467,36028643.15543166,2021,arunachal-pradesh,Q4
3560,anjaw district,TOTAL,24083,77313027.11673045,2021,arunachal-pradesh,Q4
3561,siang district,TOTAL,22785,72065716.16878249,2021,arunachal-pradesh,Q4
3562,lower siang district,TOTAL,25424,69995156.90875632,2021,arunachal-pradesh,Q4
3563,kra daadi district,TOTAL,10986,42553945.301929176,2021,arunachal-pradesh,Q4
3564,changlang district,TOTAL,147432,403255246.4023236,2021,arunachal-pradesh,Q4
3565,pakke kessang district,TOTAL,6343,15848508.20917535,2021,arunachal-pradesh,Q4
3566,dibang valley district,TOTAL,2711,14284034.399703257,2021,arunachal-pradesh,Q4
3567,west kameng district,TOTAL,247346,765859269.2953706,2021,arunachal-pradesh,Q4
3568,shi yomi district,TOTAL,3066,19610548.431270048,2021,arunachal-pradesh,Q4
3569,east siang district,TOTAL,169617,450185173.037876,2021,arunachal-pradesh,Q4
3570,upper subansiri district,TOTAL,54298,226652835.3581027,2021,arunachal-pradesh,Q4
3571,east kameng district,TOTAL,27988,122366463.65672666,2021,arunachal-pradesh,Q4
3572,lohit district,TOTAL,142772,328942905.2553121,2021,arunachal-pradesh,Q4
3573,lepa rada district,TOTAL,28633,101798549.88186258,2021,arunachal-pradesh,Q4
3574,tawang district,TOTAL,99575,412396002.3197621,2021,arunachal-pradesh,Q4
3575,namsai district,TOTAL,105194,220513367.66283622,2021,arunachal-pradesh,Q4
3576,lower dibang valley district,TOTAL,83531,235243185.52128848,2022,arunachal-pradesh,Q1
3577,lower subansiri district,TOTAL,73100,239825149.91154164,2022,arunachal-pradesh,Q1
3578,longding district,TOTAL,43533,138915391.14290744,2022,arunachal-pradesh,Q1
3579,west siang district,TOTAL,92331,315562272.5888671,2022,arunachal-pradesh,Q1
3580,kamle district,TOTAL,11978,39224415.796201825,2022,arunachal-pradesh,Q1
3581,upper siang district,TOTAL,43428,156487414.60212946,2022,arunachal-pradesh,Q1
3582,tirap district,TOTAL,59514,181768733.7198426,2022,arunachal-pradesh,Q1
3583,papum pare district,TOTAL,1163726,2909248438.629796,2022,arunachal-pradesh,Q1
3584,kurung kumey district,TOTAL,10401,46127063.32319221,2022,arunachal-pradesh,Q1
3585,anjaw district,TOTAL,21058,70149358.0827275,2022,arunachal-pradesh,Q1
3586,siang district,TOTAL,23793,80549877.87323424,2022,arunachal-pradesh,Q1
3587,lower siang district,TOTAL,29595,80036191.45641762,2022,arunachal-pradesh,Q1
3588,kra daadi district,TOTAL,14110,54761962.54116271,2022,arunachal-pradesh,Q1
3589,changlang district,TOTAL,171494,490549428.7793704,2022,arunachal-pradesh,Q1
3590,pakke kessang district,TOTAL,8817,26463907.43466976,2022,arunachal-pradesh,Q1
3591,dibang valley district,TOTAL,2927,15694666.656907387,2022,arunachal-pradesh,Q1
3592,west kameng district,TOTAL,240672,705607894.004217,2022,arunachal-pradesh,Q1
3593,shi yomi district,TOTAL,2903,19772208.730185587,2022,arunachal-pradesh,Q1
3594,east siang district,TOTAL,201945,501600929.04419017,2022,arunachal-pradesh,Q1
3595,upper subansiri district,TOTAL,61408,250527144.28565046,2022,arunachal-pradesh,Q1
3596,east kameng district,TOTAL,36452,157804149.97029108,2022,arunachal-pradesh,Q1
3597,lohit district,TOTAL,169954,393361044.4830233,2022,arunachal-pradesh,Q1
3598,lepa rada district,TOTAL,33504,116144345.41984761,2022,arunachal-pradesh,Q1
3599,tawang district,TOTAL,86721,346661566.51465106,2022,arunachal-pradesh,Q1
3600,namsai district,TOTAL,117173,256004887.5750422,2022,arunachal-pradesh,Q1
3601,lower dibang valley district,TOTAL,104498,271945446.39483917,2022,arunachal-pradesh,Q2
3602,lower subansiri district,TOTAL,94109,287993729.7711809,2022,arunachal-pradesh,Q2
3603,longding district,TOTAL,53158,160788732.81339836,2022,arunachal-pradesh,Q2
3604,west siang district,TOTAL,121772,375530981.6496287,2022,arunachal-pradesh,Q2
3605,kamle district,TOTAL,15014,44602505.00778252,2022,arunachal-pradesh,Q2
3606,upper siang district,TOTAL,48672,156044689.03497896,2022,arunachal-pradesh,Q2
3607,tirap district,TOTAL,77626,237900567.7289177,2022,arunachal-pradesh,Q2
3608,papum pare district,TOTAL,1444757,3269917296.559577,2022,arunachal-pradesh,Q2
3609,kurung kumey district,TOTAL,11548,48364588.79678346,2022,arunachal-pradesh,Q2
3610,anjaw district,TOTAL,29854,100406271.77969864,2022,arunachal-pradesh,Q2
3611,siang district,TOTAL,28364,83637271.88783586,2022,arunachal-pradesh,Q2
3612,lower siang district,TOTAL,35467,92504503.65485632,2022,arunachal-pradesh,Q2
3613,kra daadi district,TOTAL,15115,64226643.96066442,2022,arunachal-pradesh,Q2
3614,changlang district,TOTAL,203732,513287861.1029648,2022,arunachal-pradesh,Q2
3615,pakke kessang district,TOTAL,10309,27595370.58732931,2022,arunachal-pradesh,Q2
3616,dibang valley district,TOTAL,3179,17089738.718757033,2022,arunachal-pradesh,Q2
3617,west kameng district,TOTAL,327925,893486447.5566866,2022,arunachal-pradesh,Q2
3618,shi yomi district,TOTAL,3929,28306519.496313594,2022,arunachal-pradesh,Q2
3619,east siang district,TOTAL,261162,604825118.1911322,2022,arunachal-pradesh,Q2
