,District,Type,Count,Amount,Year,state,Quater
73,ramanagara district,TOTAL,180632,356041712.35851943,2018,karnataka,Q2
74,mandya district,TOTAL,146602,280805271.0157244,2018,karnataka,Q2
75,kodagu district,TOTAL,39093,83410947.73702285,2018,karnataka,Q2
76,chikkamagaluru district,TOTAL,86011,153982332.69983456,2018,karnataka,Q2
77,haveri district,TOTAL,85932,138186428.15616366,2018,karnataka,Q2
78,ballari district,TOTAL,312869,626895300.6322386,2018,karnataka,Q2
79,belagavi district,TOTAL,361190,565399486.7143972,2018,karnataka,Q2
80,kolar district,TOTAL,185633,334688753.0247266,2018,karnataka,Q2
81,uttara kannada district,TOTAL,115613,189355614.690955,2018,karnataka,Q2
82,tumakuru district,TOTAL,259255,486561374.7814332,2018,karnataka,Q2
83,yadgir district,TOTAL,66639,170819659.69297707,2018,karnataka,Q2
84,bengaluru urban district,TOTAL,11916035,23824727965.49048,2018,karnataka,Q2
85,chikkaballapura district,TOTAL,156443,317528991.04639685,2018,karnataka,Q2
86,davanagere district,TOTAL,195484,338624047.55587566,2018,karnataka,Q2
87,bagalkote district,TOTAL,170303,258874636.43210196,2018,karnataka,Q2
88,vijayapura district,TOTAL,189029,345417220.31850344,2018,karnataka,Q2
89,koppal district,TOTAL,90682,159663391.41499817,2018,karnataka,Q2
90,bidar district,TOTAL,201824,419997599.5748527,2018,karnataka,Q2
91,bengaluru rural district,TOTAL,277565,586804990.4033923,2018,karnataka,Q2
92,raichur district,TOTAL,190132,380694550.21686906,2018,karnataka,Q2
93,chamarajanagara district,TOTAL,45985,74364597.81797275,2018,karnataka,Q2
94,dakshina kannada district,TOTAL,262880,453188212.400241,2018,karnataka,Q2
95,hassan district,TOTAL,131643,281290645.775151,2018,karnataka,Q2
96,dharwad district,TOTAL,280837,449174522.00529456,2018,karnataka,Q2
97,shivamogga district,TOTAL,152407,283096644.17995495,2018,karnataka,Q2
98,udupi district,TOTAL,138827,240375464.3765934,2018,karnataka,Q2
99,gadag district,TOTAL,78515,112264784.02529755,2018,karnataka,Q2
100,mysuru district,TOTAL,637275,1288891514.5700188,2018,karnataka,Q3
101,chitradurga district,TOTAL,178075,364428579.91914105,2018,karnataka,Q3
102,kalaburagi district,TOTAL,322364,646610249.5756959,2018,karnataka,Q3
103,ramanagara district,TOTAL,250107,531708693.80836976,2018,karnataka,Q3
104,mandya district,TOTAL,215192,435712260.636139,2018,karnataka,Q3
105,kodagu district,TOTAL,50067,101894557.14789373,2018,karnataka,Q3
106,chikkamagaluru district,TOTAL,117401,222659779.46996915,2018,karnataka,Q3
107,haveri district,TOTAL,123816,208898170.04147172,2018,karnataka,Q3
108,ballari district,TOTAL,466759,923310407.3267276,2018,karnataka,Q3
