,District name,No of Registered User,AppOpens,Year,State Name,Quater
106,chikkamagaluru district,59911,0,2018,karnataka,Q3
107,haveri district,62080,0,2018,karnataka,Q3
108,ballari district,177311,0,2018,karnataka,Q3
109,belagavi district,252307,0,2018,karnataka,Q3
110,kolar district,110883,0,2018,karnataka,Q3
111,uttara kannada district,83866,0,2018,karnataka,Q3
112,tumakuru district,154217,0,2018,karnataka,Q3
113,yadgir district,40716,0,2018,karnataka,Q3
114,bengaluru urban district,3167597,0,2018,karnataka,Q3
115,chikkaballapura district,78717,0,2018,karnataka,Q3
116,davanagere district,120506,0,2018,karnataka,Q3
117,bagalkote district,110608,0,2018,karnataka,Q3
118,vijayapura district,124561,0,2018,karnataka,Q3
119,koppal district,62937,0,2018,karnataka,Q3
120,bidar district,102087,0,2018,karnataka,Q3
121,bengaluru rural district,156268,0,2018,karnataka,Q3
122,raichur district,104416,0,2018,karnataka,Q3
123,chamarajanagara district,33703,0,2018,karnataka,Q3
124,dakshina kannada district,153231,0,2018,karnataka,Q3
125,hassan district,99071,0,2018,karnataka,Q3
126,dharwad district,181324,0,2018,karnataka,Q3
127,shivamogga district,107293,0,2018,karnataka,Q3
128,udupi district,83838,0,2018,karnataka,Q3
129,gadag district,50845,0,2018,karnataka,Q3
130,mysuru district,341636,0,2018,karnataka,Q4
131,chitradurga district,101817,0,2018,karnataka,Q4
132,kalaburagi district,186668,0,2018,karnataka,Q4
133,ramanagara district,115881,0,2018,karnataka,Q4
134,mandya district,127238,0,2018,karnataka,Q4
135,kodagu district,37481,0,2018,karnataka,Q4
136,chikkamagaluru district,77854,0,2018,karnataka,Q4
137,haveri district,80957,0,2018,karnataka,Q4
138,ballari district,226336,0,2018,karnataka,Q4
139,belagavi district,328102,0,2018,karnataka,Q4
140,kolar district,157183,0,2018,karnataka,Q4
141,uttara kannada district,106612,0,2018,karnataka,Q4
142,tumakuru district,203805,0,2018,karnataka,Q4
143,yadgir district,53372,0,2018,karnataka,Q4
144,bengaluru urban district,4126734,0,2018,karnataka,Q4
145,chikkaballapura district,107403,0,2018,karnataka,Q4
146,davanagere district,155006,0,2018,karnataka,Q4
147,bagalkote district,140282,0,2018,karnataka,Q4
148,vijayapura district,160346,0,2018,karnataka,Q4
149,koppal district,81642,0,2018,karnataka,Q4
150,bidar district,131005,0,2018,karnataka,Q4
