,State name,Type,Count,Amount,Year,Quater
161,jharkhand,TOTAL,9387708,13627236449.278034,2019,Q1
162,odisha,TOTAL,34031942,35427127930.698456,2019,Q1
163,bihar,TOTAL,26356234,41502827514.52612,2019,Q1
164,kerala,TOTAL,6469039,10235031134.849785,2019,Q1
165,karnataka,TOTAL,86587609,117976382145.74966,2019,Q1
166,chandigarh,TOTAL,1274476,2396032050.444029,2019,Q1
167,telangana,TOTAL,65290702,95523262035.66321,2019,Q1
168,himachal pradesh,TOTAL,2168718,3381481442.991081,2019,Q1
169,west bengal,TOTAL,47626388,50164672623.87851,2019,Q1
170,gujarat,TOTAL,24991451,35856080308.47724,2019,Q1
171,sikkim,TOTAL,240287,457993634.3840939,2019,Q1
172,nagaland,TOTAL,168579,441941712.41233104,2019,Q1
173,mizoram,TOTAL,70306,218160895.39740258,2019,Q1
174,chhattisgarh,TOTAL,7887669,12544556385.328796,2019,Q1
175,jammu & kashmir,TOTAL,3584987,5951835476.521047,2019,Q1
176,goa,TOTAL,738812,1475323397.276577,2019,Q1
177,arunachal pradesh,TOTAL,226506,609950106.3139492,2019,Q1
178,delhi,TOTAL,47007327,58469131789.49733,2019,Q1
179,uttarakhand,TOTAL,5546001,7183529175.274033,2019,Q1
180,puducherry,TOTAL,580077,1211446910.127807,2019,Q2
181,tamil nadu,TOTAL,32171737,64207676025.75553,2019,Q2
182,uttar pradesh,TOTAL,58883500,98917519370.67831,2019,Q2
183,madhya pradesh,TOTAL,40846013,68334566380.56182,2019,Q2
184,andhra pradesh,TOTAL,56409015,113634518758.22931,2019,Q2
185,tripura,TOTAL,532558,841821482.8473747,2019,Q2
186,lakshadweep,TOTAL,2926,9242524.13698889,2019,Q2
187,manipur,TOTAL,257425,722789942.1495004,2019,Q2
188,maharashtra,TOTAL,101149853,153294470088.05945,2019,Q2
189,dadra & nagar haveli & daman & diu,TOTAL,489656,824441276.56507,2019,Q2
190,meghalaya,TOTAL,232286,492931289.1072781,2019,Q2
191,andaman & nicobar islands,TOTAL,33689,120254709.6756632,2019,Q2
192,haryana,TOTAL,22741816,42501539813.21669,2019,Q2
193,rajasthan,TOTAL,50009286,89107313172.66756,2019,Q2
194,ladakh,TOTAL,68772,259255506.9974248,2019,Q2
195,punjab,TOTAL,8509830,18614793394.772213,2019,Q2
196,assam,TOTAL,5454929,10954969189.126175,2019,Q2
197,jharkhand,TOTAL,10128211,18622701305.54623,2019,Q2
198,odisha,TOTAL,29512024,44754854871.67608,2019,Q2
199,bihar,TOTAL,29960479,63132438283.54397,2019,Q2
200,kerala,TOTAL,7283826,13031371561.185568,2019,Q2
201,karnataka,TOTAL,115401604,163702024226.0841,2019,Q2
202,chandigarh,TOTAL,1252470,2693116098.9444556,2019,Q2
203,telangana,TOTAL,89610379,155676443182.43457,2019,Q2
204,himachal pradesh,TOTAL,2502306,4875883973.61058,2019,Q2
205,west bengal,TOTAL,47023535,57105691119.11844,2019,Q2
206,gujarat,TOTAL,28981842,49320615219.26732,2019,Q2
207,sikkim,TOTAL,388244,738894243.4359412,2019,Q2
208,nagaland,TOTAL,188753,520066682.1585048,2019,Q2
209,mizoram,TOTAL,75671,248016708.13501447,2019,Q2
210,chhattisgarh,TOTAL,9389945,17002355688.82225,2019,Q2
211,jammu & kashmir,TOTAL,2296355,6100142201.563448,2019,Q2
212,goa,TOTAL,768441,1591867103.3876143,2019,Q2
213,arunachal pradesh,TOTAL,258656,752655874.3550282,2019,Q2
214,delhi,TOTAL,57171512,81706816063.62862,2019,Q2
215,uttarakhand,TOTAL,4813275,8588532850.9184885,2019,Q2
216,puducherry,TOTAL,716826,1460708357.4554102,2019,Q3
217,tamil nadu,TOTAL,41410183,78959604643.63503,2019,Q3
218,uttar pradesh,TOTAL,68623959,111268137475.02843,2019,Q3
219,madhya pradesh,TOTAL,53610411,77676321491.22867,2019,Q3
220,andhra pradesh,TOTAL,76288614,139447944254.78943,2019,Q3
221,tripura,TOTAL,711717,1017377422.817224,2019,Q3
222,lakshadweep,TOTAL,3104,9651761.463768471,2019,Q3
223,manipur,TOTAL,345008,863552002.562933,2019,Q3
224,maharashtra,TOTAL,148735581,199617506744.94272,2019,Q3
225,dadra & nagar haveli & daman & diu,TOTAL,638751,961471473.8483732,2019,Q3
226,meghalaya,TOTAL,306550,612218602.153532,2019,Q3
227,andaman & nicobar islands,TOTAL,33770,114071776.08729392,2019,Q3
228,haryana,TOTAL,30343531,52489119199.44011,2019,Q3
229,rajasthan,TOTAL,67303617,112468290031.92343,2019,Q3
230,ladakh,TOTAL,92396,331129527.19382226,2019,Q3
231,punjab,TOTAL,10706812,22905815605.843315,2019,Q3
232,assam,TOTAL,5942571,12950443620.426579,2019,Q3
233,jharkhand,TOTAL,14220647,21465973993.35938,2019,Q3
234,odisha,TOTAL,41422272,57304577359.217094,2019,Q3
235,bihar,TOTAL,32139900,67692783254.273834,2019,Q3
236,kerala,TOTAL,9286096,16429809722.064445,2019,Q3
237,karnataka,TOTAL,170733735,214536720438.18292,2019,Q3
238,chandigarh,TOTAL,1506543,3269682087.6608405,2019,Q3
239,telangana,TOTAL,121495376,201930021130.42365,2019,Q3
240,himachal pradesh,TOTAL,2735180,5572018781.123304,2019,Q3
241,west bengal,TOTAL,66444829,70540532616.82985,2019,Q3
242,gujarat,TOTAL,38228649,59462694964.26753,2019,Q3
243,sikkim,TOTAL,552436,884716448.4404289,2019,Q3
244,nagaland,TOTAL,261878,650956471.7134112,2019,Q3
245,mizoram,TOTAL,98094,278793899.9513421,2019,Q3
246,chhattisgarh,TOTAL,12243111,19803259167.45372,2019,Q3
247,jammu & kashmir,TOTAL,1116526,3744230491.7824554,2019,Q3
248,goa,TOTAL,1092416,2000367191.496843,2019,Q3
249,arunachal pradesh,TOTAL,370234,912645034.7958709,2019,Q3
250,delhi,TOTAL,69537876,103196812046.45712,2019,Q3
251,uttarakhand,TOTAL,5710476,9729032070.017406,2019,Q3
252,puducherry,TOTAL,1012655,1932028317.878899,2019,Q4
253,tamil nadu,TOTAL,56596411,103190865512.53719,2019,Q4
254,uttar pradesh,TOTAL,86905005,145538926507.3059,2019,Q4
255,madhya pradesh,TOTAL,68131989,104687926790.86589,2019,Q4
256,andhra pradesh,TOTAL,107218103,200948315488.80518,2019,Q4
257,tripura,TOTAL,801824,1215400160.2581887,2019,Q4
258,lakshadweep,TOTAL,3765,11269913.40492385,2019,Q4
259,manipur,TOTAL,449344,1200897682.088641,2019,Q4
260,maharashtra,TOTAL,201260620,272994428799.5649,2019,Q4
261,dadra & nagar haveli & daman & diu,TOTAL,768971,1226641262.0110402,2019,Q4
262,meghalaya,TOTAL,365981,742436471.7902198,2019,Q4
263,andaman & nicobar islands,TOTAL,35159,136838530.5173779,2019,Q4
264,haryana,TOTAL,37825985,69359719869.10008,2019,Q4
265,rajasthan,TOTAL,85074242,159452410049.68317,2019,Q4
266,ladakh,TOTAL,84706,324689360.02811134,2019,Q4
267,punjab,TOTAL,13698625,29989802246.19331,2019,Q4
268,assam,TOTAL,6760510,15281983895.512564,2019,Q4
269,jharkhand,TOTAL,18248618,28147748376.677704,2019,Q4
270,odisha,TOTAL,64995633,79769373632.04843,2019,Q4
271,bihar,TOTAL,43530314,93313426577.80905,2019,Q4
272,kerala,TOTAL,12498637,21151326637.805134,2019,Q4
273,karnataka,TOTAL,237796252,295047143447.23846,2019,Q4
274,chandigarh,TOTAL,1850915,4152513817.939354,2019,Q4
275,telangana,TOTAL,163572258,280746765547.7425,2019,Q4
276,himachal pradesh,TOTAL,3516646,7271163537.248161,2019,Q4
277,west bengal,TOTAL,96805838,88203610254.64601,2019,Q4
278,gujarat,TOTAL,42547632,76690662054.91542,2019,Q4
279,sikkim,TOTAL,767070,1176509601.6562185,2019,Q4
280,nagaland,TOTAL,317170,834537138.3487777,2019,Q4
