,State name,No of Registered User,Pincode,Year,Quater
145,rajasthan,10925031,0,2019,Q4
146,west bengal,10885058,0,2019,Q4
147,tamil nadu,9620493,0,2019,Q4
148,gujarat,9323799,0,2019,Q4
149,madhya pradesh,9165241,0,2019,Q4
150,null,398548,201301,2019,Q4
151,null,320535,110059,2019,Q4
152,null,313673,560068,2019,Q4
153,null,279498,500072,2019,Q4
154,null,264380,110092,2019,Q4
155,null,258880,122001,2019,Q4
156,null,243170,421302,2019,Q4
157,null,218317,560078,2019,Q4
158,null,214322,395006,2019,Q4
159,null,211683,560076,2019,Q4
160,maharashtra,26168390,0,2020,Q1
161,uttar pradesh,20136256,0,2020,Q1
162,karnataka,17016980,0,2020,Q1
163,andhra pradesh,13022060,0,2020,Q1
164,telangana,12306860,0,2020,Q1
165,rajasthan,12142053,0,2020,Q1
166,west bengal,11960822,0,2020,Q1
167,tamil nadu,10872368,0,2020,Q1
168,gujarat,10259843,0,2020,Q1
169,madhya pradesh,10151371,0,2020,Q1
170,null,425915,201301,2020,Q1
171,null,342152,110059,2020,Q1
172,null,334481,560068,2020,Q1
173,null,296003,500072,2020,Q1
174,null,280039,110092,2020,Q1
175,null,277400,122001,2020,Q1
176,null,270275,421302,2020,Q1
177,null,234102,560078,2020,Q1
178,null,230047,395006,2020,Q1
179,null,226703,110086,2020,Q1
180,maharashtra,28765086,0,2020,Q2
181,uttar pradesh,22498519,0,2020,Q2
182,karnataka,18655366,0,2020,Q2
183,andhra pradesh,14319675,0,2020,Q2
184,rajasthan,13563201,0,2020,Q2
185,telangana,13378191,0,2020,Q2
186,west bengal,13222022,0,2020,Q2
187,tamil nadu,12150786,0,2020,Q2
188,gujarat,11392657,0,2020,Q2
189,madhya pradesh,11374423,0,2020,Q2
190,null,445271,201301,2020,Q2
191,null,365614,110059,2020,Q2
192,null,351484,560068,2020,Q2
193,null,309469,500072,2020,Q2
194,null,298762,421302,2020,Q2
195,null,295000,110092,2020,Q2
196,null,293479,122001,2020,Q2
197,null,247869,560078,2020,Q2
198,null,246312,110086,2020,Q2
199,null,245129,395006,2020,Q2
200,maharashtra,31409513,0,2020,Q3
201,uttar pradesh,24838116,0,2020,Q3
202,karnataka,20487550,0,2020,Q3
203,andhra pradesh,15692405,0,2020,Q3
204,rajasthan,14969412,0,2020,Q3
205,telangana,14590882,0,2020,Q3
206,west bengal,14448366,0,2020,Q3
207,tamil nadu,13643451,0,2020,Q3
208,madhya pradesh,12564224,0,2020,Q3
209,gujarat,12467847,0,2020,Q3
210,null,472490,201301,2020,Q3
211,null,393571,110059,2020,Q3
212,null,373446,560068,2020,Q3
213,null,328833,421302,2020,Q3
214,null,328018,500072,2020,Q3
215,null,314384,110092,2020,Q3
216,null,314031,122001,2020,Q3
217,null,267186,110086,2020,Q3
218,null,265627,560078,2020,Q3
219,null,261230,121004,2020,Q3
220,maharashtra,34432631,0,2020,Q4
221,uttar pradesh,27249134,0,2020,Q4
222,karnataka,22400182,0,2020,Q4
223,andhra pradesh,17076565,0,2020,Q4
224,rajasthan,16329494,0,2020,Q4
225,telangana,15927797,0,2020,Q4
226,west bengal,15662093,0,2020,Q4
227,tamil nadu,15357586,0,2020,Q4
228,madhya pradesh,13737947,0,2020,Q4
229,gujarat,13605203,0,2020,Q4
230,null,504506,201301,2020,Q4
